schema,revision,dirty,records,repetition,build_ns,records_per_sec,num_nodes,num_leaves,num_internal,height,tree_bytes,database_bytes,observed_records,error,validated
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,1,9211833,1085560.278828329,87,84,3,2,1047293,1220608,10000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,1,62230125,803469.380786235,398,393,5,2,5233968,5971968,50000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,1,128301625,779413.3550529855,787,776,11,2,10467310,11911168,100000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,1,745907750,670324.1788277437,3856,3815,41,3,52331178,59244544,500000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,1000000,1,1517254083,659085.3906438292,7719,7644,75,3,104662829,118599680,1000000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,2,9193750,1087695.4452753228,87,84,3,2,1047293,1220608,10000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,2,57867958,864036.0179980777,398,393,5,2,5233968,5971968,50000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,2,120172125,832139.7329039492,787,776,11,2,10467310,11911168,100000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,2,906159166,551779.4431271029,3856,3815,41,3,52331178,59244544,500000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,1000000,2,1524786375,655829.5748150294,7719,7644,75,3,104662829,118599680,1000000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,10000,3,8942167,1118297.1644345268,87,84,3,2,1047293,1220608,10000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,50000,3,56284250,888347.983672164,398,393,5,2,5233968,5971968,50000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,100000,3,114795000,871118.0800557516,787,776,11,2,10467310,11911168,100000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,500000,3,688880125,725815.6852761575,3856,3815,41,3,52331178,59244544,500000,,true
sqlite-prolly-patterns-v1,abb1b67a6dabf5a0140012329eff4771957e6e93,true,1000000,3,1493879750,669397.9217537422,7719,7644,75,3,104662829,118599680,1000000,,true
