records,operation,pattern,cache_state,repetitions,median_total_ns,min_total_ns,max_total_ns,median_ns_per_operation,median_operations_per_sec,min_operations_per_sec,max_operations_per_sec
10000,put,append,not-applicable,3,22182209,20592166,28750375,221822.09,4508.117293458014,3478.2155015369362,4856.215708439802
10000,put,random,not-applicable,3,33847958,26837750,35649083,338479.58,2954.387972237498,2805.1212425295766,3726.094773220557
10000,put,clustered,not-applicable,3,32196625,26142250,57415375,321966.25,3105.9156045082364,1741.6937536330645,3825.225449224914
10000,batch,append,not-applicable,3,1453833,1384125,2981583,14538.33,68783.69111170265,33539.230670419034,72247.80998825973
10000,batch,random,not-applicable,3,9552875,8506291,13361792,95528.75,10468.052811326432,7484.026094703465,11756.005055552416
10000,batch,clustered,not-applicable,3,3395542,1847959,3651042,33955.42,29450.37935033641,27389.441151320636,54113.75468828042
10000,point-read,append,cold-manager,3,850834,679416,1846292,8508.34,117531.73944623747,54162.61349775658,147185.22966783238
10000,point-read,append,warm-manager,3,24166,23584,26000,241.66,4138045.1874534474,3846153.8461538465,4240162.822252374
10000,point-read,random,cold-manager,3,7217167,6715750,11887459,72171.67,13855.852303265256,8412.226700424371,14890.369653426646
10000,point-read,random,warm-manager,3,418458,411125,426041,4184.58,238972.60895956104,234719.19369262582,243235.02584372152
10000,point-read,clustered,cold-manager,3,1093791,634042,2208666,10937.91,91425.14429173397,45276.198393057166,157718.2584119033
10000,point-read,clustered,warm-manager,3,24542,24417,24916,245.42,4074647.5429875315,4013485.3106437633,4095507.2285702582
10000,range-scan,append,not-applicable,3,582000,581666,2116541,5820.0,171821.3058419244,47246.89954033491,171919.96781658204
10000,range-scan,random,not-applicable,3,2064959,1567958,3177000,20649.59,48427.1116278822,31476.235442241108,63777.218522434916
10000,range-scan,clustered,not-applicable,3,859292,655250,2851542,8592.92,116374.876060757,35068.7452613358,152613.50629530713
50000,put,append,not-applicable,3,130821083,130225167,135690458,261642.166,3822.013918047139,3684.857486441677,3839.5036191429876
50000,put,random,not-applicable,3,224913667,210253917,233533791,449827.334,2223.075221124735,2141.0177853019995,2378.0769801306483
50000,put,clustered,not-applicable,3,230898125,223081542,237168666,461796.25,2165.4571686106156,2108.2042937324613,2241.3329023877736
50000,batch,append,not-applicable,3,13790542,12358041,14765958,27581.084,36256.73305661228,33861.670201147805,40459.48706595163
50000,batch,random,not-applicable,3,93536292,77572083,95260958,187072.584,5345.51872122534,5248.739992726086,6445.617813305335
50000,batch,clustered,not-applicable,3,12986875,10350292,13235458,25973.75,38500.40906684633,37777.31001073027,48307.815856789355
50000,point-read,append,cold-manager,3,9195042,6487833,9516125,18390.084,54377.13063192098,52542.395145082686,77067.33511790454
50000,point-read,append,warm-manager,3,384708,372500,388000,769.416,1299687.0353618849,1288659.793814433,1342281.8791946308
50000,point-read,random,cold-manager,3,63164166,56697167,63687792,126328.332,7915.880659296603,7850.79815610502,8818.782779746296
50000,point-read,random,warm-manager,3,2165375,2128291,2217500,4330.75,230906.88679789874,225479.14317925595,234930.2797408813
50000,point-read,clustered,cold-manager,3,7221333,4940208,7613834,14442.666,69239.29418571336,65669.93711709502,101210.31341190494
50000,point-read,clustered,warm-manager,3,367042,363667,418958,734.084,1362241.923267637,1193437.0509693096,1374884.1660090135
