schema,revision,dirty,records,repetition,operation,pattern,cache_state,configured_operations,observed_operations,total_ns,ns_per_operation,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,nodes_read,nodes_written,bytes_read,bytes_written,cache_hits,cache_misses,cache_evictions,result_entries,num_nodes,num_leaves,num_internal,height,tree_bytes,db_bytes,wal_bytes,shm_bytes,total_database_bytes,expected_entries,observed_entries,error,validated
sqlite-prolly-patterns-v1,1a738fc6c6d24d01c52b2ba19ee5a7e0a493e1df,true,100,1,put,append,not-applicable,10,10,1503958,150395.8,6649.121850477208,102750,569667,569667,569667,1,10,10441,110150,29,1,0,110,1,1,0,0,11483,28672,218392,32768,279832,110,110,,true
sqlite-prolly-patterns-v1,1a738fc6c6d24d01c52b2ba19ee5a7e0a493e1df,true,100,1,put,random,not-applicable,10,10,1064334,106433.4,9395.546886597629,88042,249667,249667,249667,1,10,10441,104410,39,1,0,100,1,1,0,0,10441,28672,218392,32768,279832,100,100,,true
sqlite-prolly-patterns-v1,1a738fc6c6d24d01c52b2ba19ee5a7e0a493e1df,true,100,1,put,clustered,not-applicable,10,10,9647875,964787.5,1036.4976743583431,160917,4018458,4018458,4018458,1,10,10441,104410,39,1,0,100,1,1,0,0,10441,28672,218392,32768,279832,100,100,,true
sqlite-prolly-patterns-v1,1a738fc6c6d24d01c52b2ba19ee5a7e0a493e1df,true,100,1,batch,append,not-applicable,10,10,367708,36770.8,27195.492075233607,,,,,1,1,10441,11483,2,1,0,110,1,1,0,0,11483,28672,24752,32768,86192,110,110,,true
sqlite-prolly-patterns-v1,1a738fc6c6d24d01c52b2ba19ee5a7e0a493e1df,true,100,1,batch,random,not-applicable,10,10,467209,46720.9,21403.697274667225,,,,,1,1,10441,10441,3,1,0,100,1,1,0,0,10441,28672,24752,32768,86192,100,100,,true
sqlite-prolly-patterns-v1,1a738fc6c6d24d01c52b2ba19ee5a7e0a493e1df,true,100,1,batch,clustered,not-applicable,10,10,492000,49200.0,20325.20325203252,,,,,1,1,10441,10441,3,1,0,100,1,1,0,0,10441,28672,24752,32768,86192,100,100,,true
sqlite-prolly-patterns-v1,1a738fc6c6d24d01c52b2ba19ee5a7e0a493e1df,true,100,1,point-read,append,cold-manager,10,10,155083,15508.3,64481.60017538995,500,149666,149666,149666,1,0,10441,0,9,1,0,100,1,1,0,0,10441,28672,0,32768,61440,100,100,,true
sqlite-prolly-patterns-v1,1a738fc6c6d24d01c52b2ba19ee5a7e0a493e1df,true,100,1,point-read,append,warm-manager,10,10,5833,583.3,1714383.6790673754,541,625,625,625,0,0,0,0,10,0,0,100,1,1,0,0,10441,28672,0,32768,61440,100,100,,true
sqlite-prolly-patterns-v1,1a738fc6c6d24d01c52b2ba19ee5a7e0a493e1df,true,100,1,point-read,random,cold-manager,10,10,155375,15537.5,64360.41834271923,542,149500,149500,149500,1,0,10441,0,9,1,0,100,1,1,0,0,10441,28672,0,32768,61440,100,100,,true
sqlite-prolly-patterns-v1,1a738fc6c6d24d01c52b2ba19ee5a7e0a493e1df,true,100,1,point-read,random,warm-manager,10,10,5541,554.1,1804728.3883775491,500,584,584,584,0,0,0,0,10,0,0,100,1,1,0,0,10441,28672,0,32768,61440,100,100,,true
sqlite-prolly-patterns-v1,1a738fc6c6d24d01c52b2ba19ee5a7e0a493e1df,true,100,1,point-read,clustered,cold-manager,10,10,148125,14812.5,67510.54852320674,500,142708,142708,142708,1,0,10441,0,9,1,0,100,1,1,0,0,10441,28672,0,32768,61440,100,100,,true
sqlite-prolly-patterns-v1,1a738fc6c6d24d01c52b2ba19ee5a7e0a493e1df,true,100,1,point-read,clustered,warm-manager,10,10,5750,575.0,1739130.4347826086,500,667,667,667,0,0,0,0,10,0,0,100,1,1,0,0,10441,28672,0,32768,61440,100,100,,true
sqlite-prolly-patterns-v1,1a738fc6c6d24d01c52b2ba19ee5a7e0a493e1df,true,100,1,range-scan,append,not-applicable,10,10,175791,17579.1,56885.733626863715,,,,,1,0,10441,0,0,1,0,100,1,1,0,0,10441,28672,0,32768,61440,100,100,,true
sqlite-prolly-patterns-v1,1a738fc6c6d24d01c52b2ba19ee5a7e0a493e1df,true,100,1,range-scan,random,not-applicable,10,10,162792,16279.2,61428.08000393139,,,,,1,0,10441,0,0,1,0,100,1,1,0,0,10441,28672,0,32768,61440,100,100,,true
sqlite-prolly-patterns-v1,1a738fc6c6d24d01c52b2ba19ee5a7e0a493e1df,true,100,1,range-scan,clustered,not-applicable,10,10,163917,16391.7,61006.48498935437,,,,,1,0,10441,0,0,1,0,100,1,1,0,0,10441,28672,0,32768,61440,100,100,,true
