records,operation,pattern,cache_state,repetitions,median_total_ns,min_total_ns,max_total_ns,median_ns_per_operation,median_operations_per_sec,min_operations_per_sec,max_operations_per_sec
100,put,append,not-applicable,1,1503958,1503958,1503958,150395.8,6649.121850477208,6649.121850477208,6649.121850477208
100,put,random,not-applicable,1,1064334,1064334,1064334,106433.4,9395.546886597629,9395.546886597629,9395.546886597629
100,put,clustered,not-applicable,1,9647875,9647875,9647875,964787.5,1036.4976743583431,1036.4976743583431,1036.4976743583431
100,batch,append,not-applicable,1,367708,367708,367708,36770.8,27195.492075233607,27195.492075233607,27195.492075233607
100,batch,random,not-applicable,1,467209,467209,467209,46720.9,21403.697274667225,21403.697274667225,21403.697274667225
100,batch,clustered,not-applicable,1,492000,492000,492000,49200.0,20325.20325203252,20325.20325203252,20325.20325203252
100,point-read,append,cold-manager,1,155083,155083,155083,15508.3,64481.60017538995,64481.60017538995,64481.60017538995
100,point-read,append,warm-manager,1,5833,5833,5833,583.3,1714383.6790673754,1714383.6790673754,1714383.6790673754
100,point-read,random,cold-manager,1,155375,155375,155375,15537.5,64360.41834271923,64360.41834271923,64360.41834271923
100,point-read,random,warm-manager,1,5541,5541,5541,554.1,1804728.3883775491,1804728.3883775491,1804728.3883775491
100,point-read,clustered,cold-manager,1,148125,148125,148125,14812.5,67510.54852320674,67510.54852320674,67510.54852320674
100,point-read,clustered,warm-manager,1,5750,5750,5750,575.0,1739130.4347826086,1739130.4347826086,1739130.4347826086
100,range-scan,append,not-applicable,1,175791,175791,175791,17579.1,56885.733626863715,56885.733626863715,56885.733626863715
100,range-scan,random,not-applicable,1,162792,162792,162792,16279.2,61428.08000393139,61428.08000393139,61428.08000393139
100,range-scan,clustered,not-applicable,1,163917,163917,163917,16391.7,61006.48498935437,61006.48498935437,61006.48498935437
