version,profile,records,run,workload,operations,total_ns,ns_per_op,ops_per_sec,nodes_read,nodes_written,bytes_read,bytes_written,cache_hits,cache_misses,cache_evictions,result_entries,num_nodes,num_leaves,num_internal,height,tree_bytes,db_bytes_before,db_bytes_after,wal_bytes_after,shm_bytes_after,fixture_bytes_after,sqlite_node_count,sqlite_node_payload_bytes,validated,status
original,full,1000000,1,sorted_stream_build,1000000,825889375,825.889,1210815.916,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,full,1000000,1,clustered_batch_deletes,10000,76531334,7653.133,130665.434,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,full,1000000,1,sorted_stream_build,1000000,782017333,782.017,1278744.035,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,full,1000000,1,clustered_batch_deletes,10000,18601583,1860.158,537588.656,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,normal,1000000,1,sorted_stream_build,1000000,772213250,772.213,1294979.075,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,normal,1000000,1,clustered_batch_deletes,10000,63953041,6395.304,156364.730,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,normal,1000000,1,sorted_stream_build,1000000,745546125,745.546,1341298.635,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,normal,1000000,1,clustered_batch_deletes,10000,21535417,2153.542,464351.352,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,full,10000000,1,sorted_stream_build,10000000,9348658375,934.866,1069672.203,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,1,clustered_batch_deletes,10000,211605542,21160.554,47257.741,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,full,10000000,1,sorted_stream_build,10000000,10075979083,1007.598,992459.385,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,full,10000000,1,clustered_batch_deletes,10000,521565333,52156.533,19173.053,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,normal,10000000,1,sorted_stream_build,10000000,9469948708,946.995,1055971.929,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,normal,10000000,1,clustered_batch_deletes,10000,103797167,10379.717,96341.743,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,normal,10000000,1,sorted_stream_build,10000000,9527272291,952.727,1049618.369,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,normal,10000000,1,clustered_batch_deletes,10000,47031167,4703.117,212624.960,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
current,normal,1000000,2,sorted_stream_build,1000000,1016580709,1016.581,983689.727,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,normal,1000000,2,clustered_batch_deletes,10000,21758584,2175.858,459588.731,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,normal,1000000,2,sorted_stream_build,1000000,1095967375,1095.967,912435.920,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,normal,1000000,2,clustered_batch_deletes,10000,68066792,6806.679,146914.519,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,full,1000000,2,sorted_stream_build,1000000,796848208,796.848,1254944.154,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,full,1000000,2,clustered_batch_deletes,10000,22360625,2236.062,447214.691,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,full,1000000,2,sorted_stream_build,1000000,820910709,820.911,1218159.282,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,full,1000000,2,clustered_batch_deletes,10000,66855875,6685.587,149575.486,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,normal,10000000,2,sorted_stream_build,10000000,13140688292,1314.069,760995.146,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,normal,10000000,2,clustered_batch_deletes,10000,48597958,4859.796,205769.963,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,normal,10000000,2,sorted_stream_build,10000000,9471254500,947.125,1055826.343,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,normal,10000000,2,clustered_batch_deletes,10000,101368042,10136.804,98650.421,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,full,10000000,2,sorted_stream_build,10000000,10295505750,1029.551,971297.597,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,full,10000000,2,clustered_batch_deletes,10000,44029458,4402.946,227120.670,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,full,10000000,2,sorted_stream_build,10000000,10503264708,1050.326,952084.926,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,2,clustered_batch_deletes,10000,114712583,11471.258,87174.395,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
original,full,1000000,3,sorted_stream_build,1000000,778301458,778.301,1284849.193,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,full,1000000,3,clustered_batch_deletes,10000,69450459,6945.046,143987.529,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,full,1000000,3,sorted_stream_build,1000000,738674167,738.674,1353776.868,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,full,1000000,3,clustered_batch_deletes,10000,225704666,22570.467,44305.686,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,normal,1000000,3,sorted_stream_build,1000000,778245084,778.245,1284942.264,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,normal,1000000,3,clustered_batch_deletes,10000,67224459,6722.446,148755.381,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,normal,1000000,3,sorted_stream_build,1000000,741832334,741.832,1348013.499,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,normal,1000000,3,clustered_batch_deletes,10000,19410959,1941.096,515172.898,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,full,10000000,3,sorted_stream_build,10000000,9674590250,967.459,1033635.507,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,3,clustered_batch_deletes,10000,697331958,69733.196,14340.372,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,full,10000000,3,sorted_stream_build,10000000,9183142125,918.314,1088951.893,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,full,10000000,3,clustered_batch_deletes,10000,42627125,4262.712,234592.410,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,normal,10000000,3,sorted_stream_build,10000000,9230891500,923.089,1083318.984,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,normal,10000000,3,clustered_batch_deletes,10000,93490792,9349.079,106962.405,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,normal,10000000,3,sorted_stream_build,10000000,9363382667,936.338,1067990.101,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,normal,10000000,3,clustered_batch_deletes,10000,43066625,4306.663,232198.367,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
current,normal,1000000,4,sorted_stream_build,1000000,717198833,717.199,1394313.479,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
