version,profile,records,run,workload,operations,total_ns,ns_per_op,ops_per_sec,nodes_read,nodes_written,bytes_read,bytes_written,cache_hits,cache_misses,cache_evictions,result_entries,num_nodes,num_leaves,num_internal,height,tree_bytes,db_bytes_before,db_bytes_after,wal_bytes_after,shm_bytes_after,fixture_bytes_after,sqlite_node_count,sqlite_node_payload_bytes,validated,status
original,full,1000000,1,sorted_stream_build,1000000,890135500,890.135,1123424.467,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,full,1000000,1,clustered_batch_deletes,10000,80020125,8002.012,124968.563,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,full,1000000,1,sorted_stream_build,1000000,887387500,887.388,1126903.410,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,full,1000000,1,clustered_batch_deletes,10000,26434209,2643.421,378297.682,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,normal,1000000,1,sorted_stream_build,1000000,918142833,918.143,1089155.155,0,0,0,0,0,0,0,1000000,3650,3637,13,2,41399217,0,46571520,0,0,46571520,3650,41399217,true,ok
original,normal,1000000,1,clustered_batch_deletes,10000,82163791,8216.379,121708.113,39,4,459956,46083,72,39,0,990000,3615,3602,13,2,40985344,46571520,46628864,0,0,46628864,3654,41445300,true,ok
current,normal,1000000,1,sorted_stream_build,1000000,898912875,898.913,1112454.864,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
current,normal,1000000,1,clustered_batch_deletes,10000,25180458,2518.046,397133.364,9,3,95136,23911,1,9,0,990000,3606,3591,15,2,41164194,46813184,46837760,0,0,46837760,3650,41604488,true,ok
original,full,10000000,1,sorted_stream_build,10000000,11227103875,1122.710,890701.655,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,full,10000000,1,clustered_batch_deletes,10000,129097333,12909.733,77460.934,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,full,10000000,1,sorted_stream_build,10000000,10782699000,1078.270,927411.588,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,full,10000000,1,clustered_batch_deletes,10000,54662125,5466.212,182942.028,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
original,normal,10000000,1,sorted_stream_build,10000000,11143657833,1114.366,897371.415,0,0,0,0,0,0,0,10000000,36613,36478,135,2,414001581,0,466608128,0,0,466608128,36613,414001581,true,ok
original,normal,10000000,1,clustered_batch_deletes,10000,120917917,12091.792,82700.730,37,4,432979,19251,68,37,0,9990000,36580,36445,135,2,413587853,466608128,466632704,0,0,466632704,36617,414020832,true,ok
current,normal,10000000,1,sorted_stream_build,10000000,10470469416,1047.047,955067.018,0,0,0,0,0,0,0,10000000,36631,36496,135,2,415826370,0,468590592,0,0,468590592,36631,415826370,true,ok
current,normal,10000000,1,clustered_batch_deletes,10000,53649375,5364.938,186395.461,10,4,127828,52518,1,10,0,9990000,36591,36457,134,2,415410109,468590592,468652032,0,0,468652032,36635,415878888,true,ok
current,normal,1000000,2,sorted_stream_build,1000000,816171041,816.171,1225233.376,0,0,0,0,0,0,0,1000000,3647,3632,15,2,41580577,0,46813184,0,0,46813184,3647,41580577,true,ok
