version,profile,records,run,workload,order,exit_status,validation,stdout,stderr,timing
original,full,1000000,1,sorted_stream_build,1,0,ok,raw/1000000-full-r1-sorted_stream_build-original.stdout,raw/1000000-full-r1-sorted_stream_build-original.stderr,raw/1000000-full-r1-sorted_stream_build-original.time
original,full,1000000,1,clustered_batch_deletes,1,0,ok,raw/1000000-full-r1-clustered_batch_deletes-original.stdout,raw/1000000-full-r1-clustered_batch_deletes-original.stderr,raw/1000000-full-r1-clustered_batch_deletes-original.time
current,full,1000000,1,sorted_stream_build,2,0,ok,raw/1000000-full-r1-sorted_stream_build-current.stdout,raw/1000000-full-r1-sorted_stream_build-current.stderr,raw/1000000-full-r1-sorted_stream_build-current.time
current,full,1000000,1,clustered_batch_deletes,2,0,ok,raw/1000000-full-r1-clustered_batch_deletes-current.stdout,raw/1000000-full-r1-clustered_batch_deletes-current.stderr,raw/1000000-full-r1-clustered_batch_deletes-current.time
original,normal,1000000,1,sorted_stream_build,1,0,ok,raw/1000000-normal-r1-sorted_stream_build-original.stdout,raw/1000000-normal-r1-sorted_stream_build-original.stderr,raw/1000000-normal-r1-sorted_stream_build-original.time
original,normal,1000000,1,clustered_batch_deletes,1,0,ok,raw/1000000-normal-r1-clustered_batch_deletes-original.stdout,raw/1000000-normal-r1-clustered_batch_deletes-original.stderr,raw/1000000-normal-r1-clustered_batch_deletes-original.time
current,normal,1000000,1,sorted_stream_build,2,0,ok,raw/1000000-normal-r1-sorted_stream_build-current.stdout,raw/1000000-normal-r1-sorted_stream_build-current.stderr,raw/1000000-normal-r1-sorted_stream_build-current.time
current,normal,1000000,1,clustered_batch_deletes,2,0,ok,raw/1000000-normal-r1-clustered_batch_deletes-current.stdout,raw/1000000-normal-r1-clustered_batch_deletes-current.stderr,raw/1000000-normal-r1-clustered_batch_deletes-current.time
original,full,10000000,1,sorted_stream_build,1,0,ok,raw/10000000-full-r1-sorted_stream_build-original.stdout,raw/10000000-full-r1-sorted_stream_build-original.stderr,raw/10000000-full-r1-sorted_stream_build-original.time
original,full,10000000,1,clustered_batch_deletes,1,0,ok,raw/10000000-full-r1-clustered_batch_deletes-original.stdout,raw/10000000-full-r1-clustered_batch_deletes-original.stderr,raw/10000000-full-r1-clustered_batch_deletes-original.time
current,full,10000000,1,sorted_stream_build,2,0,ok,raw/10000000-full-r1-sorted_stream_build-current.stdout,raw/10000000-full-r1-sorted_stream_build-current.stderr,raw/10000000-full-r1-sorted_stream_build-current.time
