schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso-local-v1,async-first,true,sqlite-sync,10000,1,put,append,100,100,14486208,6903.117779338802,126167,187125,194958,1644709,483328,4166448,10100,10100,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,10000,1,put,random,100,100,24485500,4084.0497437258787,184750,325125,1753458,4178209,483328,6524504,10000,10000,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,10000,1,put,clustered,100,100,11312458,8839.811825157716,90542,209208,340792,1245958,483328,3770928,10000,10000,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,10000,1,batch,append,100,100,1658958,60278.8015127568,,,,,483328,557328,10100,10100,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,10000,1,batch,random,100,100,6154458,16248.384504370653,,,,,483328,998168,10000,10000,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,10000,1,batch,clustered,100,100,1327375,75336.66070251436,,,,,483328,590288,10000,10000,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,10000,1,diff,append,100,100,134167,745339.7631310233,,,,,483328,499712,10100,10100,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,10000,1,diff,random,100,100,4114083,24306.753169539847,,,,,483328,925696,10000,10000,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,10000,1,diff,clustered,100,100,330500,302571.86081694404,,,,,483328,520192,10000,10000,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,10000,1,merge,append,100,200,578667,345621.92072470003,,,,,483328,536576,10200,10200,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,10000,1,merge,random,100,200,9950042,20100.417666578694,,,,,483328,1744896,10000,10000,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,10000,1,merge,clustered,100,200,271958,735407.6732436626,,,,,483328,540672,10000,10000,true,
sqlite-turso-local-v1,async-first,true,turso-async,10000,1,put,append,100,100,96556042,1035.667969902909,902334,1236042,1432541,2380000,515008,1491024,10100,10100,true,
sqlite-turso-local-v1,async-first,true,turso-async,10000,1,put,random,100,100,100090792,999.0929035709898,952667,1275250,1565709,2445209,515008,2662344,10000,10000,true,
sqlite-turso-local-v1,async-first,true,turso-async,10000,1,put,clustered,100,100,85836250,1165.0089560063493,811458,1099125,1190083,1260833,515008,4103528,10000,10000,true,
sqlite-turso-local-v1,async-first,true,turso-async,10000,1,batch,append,100,100,1247875,80136.23159370931,,,,,515008,560328,10100,10100,true,
sqlite-turso-local-v1,async-first,true,turso-async,10000,1,batch,random,100,100,9312333,10738.447604912753,,,,,515008,955848,10000,10000,true,
sqlite-turso-local-v1,async-first,true,turso-async,10000,1,batch,clustered,100,100,1659250,60268.193460901006,,,,,515008,572688,10000,10000,true,
sqlite-turso-local-v1,async-first,true,turso-async,10000,1,diff,append,100,100,212125,471420.1532115498,,,,,515008,560328,10100,10100,true,
sqlite-turso-local-v1,async-first,true,turso-async,10000,1,diff,random,100,100,6434000,15542.430836182779,,,,,515008,955848,10000,10000,true,
sqlite-turso-local-v1,async-first,true,turso-async,10000,1,diff,clustered,100,100,613875,162899.61311341886,,,,,515008,572688,10000,10000,true,
sqlite-turso-local-v1,async-first,true,turso-async,10000,1,merge,append,100,200,1435333,139340.48753843186,,,,,515008,638608,10200,10200,true,
sqlite-turso-local-v1,async-first,true,turso-async,10000,1,merge,random,100,200,15014709,13320.271475124826,,,,,515008,1796328,10000,10000,true,
sqlite-turso-local-v1,async-first,true,turso-async,10000,1,merge,clustered,100,200,1943375,102913.74541712228,,,,,515008,630368,10000,10000,true,
