schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,1,put,append,100,100,20759042,4817.1779796004075,195291,266958,340042,1437750,483328,4166448,10100,10100,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,1,put,random,100,100,29695375,3367.5277715805914,226500,438500,1538167,4828625,483328,6524504,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,1,put,clustered,100,100,10611375,9423.849406886478,88167,201000,337834,722375,483328,3770928,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,1,batch,append,100,100,828708,120669.76546624384,,,,,483328,557328,10100,10100,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,1,batch,random,100,100,6804792,14695.526329092792,,,,,483328,998168,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,1,batch,clustered,100,100,1251333,79914.77887980257,,,,,483328,590288,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,1,diff,append,100,100,137417,727712.0006986036,,,,,483328,499712,10100,10100,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,1,diff,random,100,100,3995959,25025.281790929286,,,,,483328,925696,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,1,diff,clustered,100,100,328166,304723.82879396406,,,,,483328,520192,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,1,merge,append,100,200,549875,363719.02705160266,,,,,483328,536576,10200,10200,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,1,merge,random,100,200,9479875,21097.32459552473,,,,,483328,1744896,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,1,merge,clustered,100,200,220167,908401.349884406,,,,,483328,540672,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,1,put,append,100,100,83637958,1195.6293815781585,809500,976000,1510833,1765125,515008,1491024,10100,10100,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,1,put,random,100,100,103247208,968.549193117164,969791,1402375,1976375,2031125,515008,2662344,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,1,put,clustered,100,100,81633708,1224.9841695295772,756792,1000875,1862042,2117667,515008,4103528,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,1,batch,append,100,100,1624125,61571.615485261296,,,,,515008,560328,10100,10100,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,1,batch,random,100,100,9263375,10795.201532918618,,,,,515008,955848,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,1,batch,clustered,100,100,2236625,44710.221874476054,,,,,515008,572688,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,1,diff,append,100,100,724834,137962.62316613185,,,,,515008,560328,10100,10100,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,1,diff,random,100,100,6414791,15588.972423263673,,,,,515008,955848,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,1,diff,clustered,100,100,1039333,96215.55362910636,,,,,515008,572688,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,1,merge,append,100,200,2640875,75732.47503194964,,,,,515008,638608,10200,10200,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,1,merge,random,100,200,20163916,9918.708250917134,,,,,515008,1796328,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,1,merge,clustered,100,200,3231625,61888.368854678374,,,,,515008,630368,10000,10000,true,
