schema,records,api,pattern,repetitions,configured_changes,sqlite_latency_median_ns,sqlite_latency_min_ns,sqlite_latency_max_ns,sqlite_throughput_median_ops_sec,sqlite_throughput_min_ops_sec,sqlite_throughput_max_ops_sec,sqlite_p50_ns_median,sqlite_p95_ns_median,sqlite_p99_ns_median,sqlite_max_ns_median,turso_latency_median_ns,turso_latency_min_ns,turso_latency_max_ns,turso_throughput_median_ops_sec,turso_throughput_min_ops_sec,turso_throughput_max_ops_sec,turso_p50_ns_median,turso_p95_ns_median,turso_p99_ns_median,turso_max_ns_median,turso_over_sqlite_latency_ratio,turso_over_sqlite_throughput_ratio
sqlite-turso-local-v1,10000,batch,append,1,100,828708.0,828708,828708,120669.76546624384,120669.76546624384,120669.76546624384,,,,,1624125.0,1624125,1624125,61571.615485261296,61571.615485261296,61571.615485261296,,,,,1.9598278283786328,0.5102489032555991
sqlite-turso-local-v1,10000,batch,clustered,1,100,1251333.0,1251333,1251333,79914.77887980257,79914.77887980257,79914.77887980257,,,,,2236625.0,2236625,2236625,44710.221874476054,44710.221874476054,44710.221874476054,,,,,1.7873939231203844,0.5594737606885375
sqlite-turso-local-v1,10000,batch,random,1,100,6804792.0,6804792,6804792,14695.526329092792,14695.526329092792,14695.526329092792,,,,,9263375.0,9263375,9263375,10795.201532918618,10795.201532918618,10795.201532918618,,,,,1.3613017120875994,0.7345910102959234
sqlite-turso-local-v1,10000,diff,append,1,100,137417.0,137417,137417,727712.0006986036,727712.0006986036,727712.0006986036,,,,,724834.0,724834,724834,137962.62316613185,137962.62316613185,137962.62316613185,,,,,5.274704003143716,0.1895840978762034
sqlite-turso-local-v1,10000,diff,clustered,1,100,328166.0,328166,328166,304723.82879396406,304723.82879396406,304723.82879396406,,,,,1039333.0,1039333,1039333,96215.55362910636,96215.55362910636,96215.55362910636,,,,,3.1670953115191702,0.3157467337224932
sqlite-turso-local-v1,10000,diff,random,1,100,3995959.0,3995959,3995959,25025.281790929286,25025.281790929286,25025.281790929286,,,,,6414791.0,6414791,6414791,15588.972423263673,15588.972423263673,15588.972423263673,,,,,1.6053195240491707,0.6229289465549228
sqlite-turso-local-v1,10000,merge,append,1,100,549875.0,549875,549875,363719.02705160266,363719.02705160266,363719.02705160266,,,,,2640875.0,2640875,2640875,75732.47503194964,75732.47503194964,75732.47503194964,,,,,4.8026824278245055,0.20821697354096652
sqlite-turso-local-v1,10000,merge,clustered,1,100,220167.0,220167,220167,908401.349884406,908401.349884406,908401.349884406,,,,,3231625.0,3231625,3231625,61888.368854678374,61888.368854678374,61888.368854678374,,,,,14.678062561600967,0.06812888252813987
sqlite-turso-local-v1,10000,merge,random,1,100,9479875.0,9479875,9479875,21097.32459552473,21097.32459552473,21097.32459552473,,,,,20163916.0,20163916,20163916,9918.708250917134,9918.708250917134,9918.708250917134,,,,,2.127023404844473,0.4701405719008154
sqlite-turso-local-v1,10000,put,append,1,100,20759042.0,20759042,20759042,4817.1779796004075,4817.1779796004075,4817.1779796004075,195291.0,266958.0,340042.0,1437750.0,83637958.0,83637958,83637958,1195.6293815781585,1195.6293815781585,1195.6293815781585,809500.0,976000.0,1510833.0,1765125.0,4.028989295363437,0.24820120548615018
sqlite-turso-local-v1,10000,put,clustered,1,100,10611375.0,10611375,10611375,9423.849406886478,9423.849406886478,9423.849406886478,88167.0,201000.0,337834.0,722375.0,81633708.0,81633708,81633708,1224.9841695295772,1224.9841695295772,1224.9841695295772,756792.0,1000875.0,1862042.0,2117667.0,7.69303770717744,0.12998766391941918
sqlite-turso-local-v1,10000,put,random,1,100,29695375.0,29695375,29695375,3367.5277715805914,3367.5277715805914,3367.5277715805914,226500.0,438500.0,1538167.0,4828625.0,103247208.0,103247208,103247208,968.549193117164,968.549193117164,968.549193117164,969791.0,1402375.0,1976375.0,2031125.0,3.476878402781578,0.287614314955616
