schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso-local-v1,async-first-prepared,true,sqlite-sync,10000,1,put,append,100,100,16712500,5983.545250560957,158750,228291,325333,1068375,483328,4166448,10100,10100,true,
sqlite-turso-local-v1,async-first-prepared,true,sqlite-sync,10000,1,put,random,100,100,28037458,3566.657148447623,223833,386375,1143250,4392083,483328,6524504,10000,10000,true,
sqlite-turso-local-v1,async-first-prepared,true,sqlite-sync,10000,1,put,clustered,100,100,10931916,9147.527295306696,92625,208625,336750,698416,483328,3770928,10000,10000,true,
sqlite-turso-local-v1,async-first-prepared,true,sqlite-sync,10000,1,batch,append,100,100,846166,118180.12068553924,,,,,483328,557328,10100,10100,true,
sqlite-turso-local-v1,async-first-prepared,true,sqlite-sync,10000,1,batch,random,100,100,6458875,15482.572429409147,,,,,483328,998168,10000,10000,true,
sqlite-turso-local-v1,async-first-prepared,true,sqlite-sync,10000,1,batch,clustered,100,100,1210334,82621.82174507203,,,,,483328,590288,10000,10000,true,
sqlite-turso-local-v1,async-first-prepared,true,sqlite-sync,10000,1,diff,append,100,100,139666,715993.8710924635,,,,,483328,499712,10100,10100,true,
sqlite-turso-local-v1,async-first-prepared,true,sqlite-sync,10000,1,diff,random,100,100,4134667,24185.744583542037,,,,,483328,925696,10000,10000,true,
sqlite-turso-local-v1,async-first-prepared,true,sqlite-sync,10000,1,diff,clustered,100,100,344208,290522.00994747365,,,,,483328,520192,10000,10000,true,
sqlite-turso-local-v1,async-first-prepared,true,sqlite-sync,10000,1,merge,append,100,200,580334,344629.1273645866,,,,,483328,536576,10200,10200,true,
sqlite-turso-local-v1,async-first-prepared,true,sqlite-sync,10000,1,merge,random,100,200,9375500,21332.1956162338,,,,,483328,1744896,10000,10000,true,
sqlite-turso-local-v1,async-first-prepared,true,sqlite-sync,10000,1,merge,clustered,100,200,251959,793779.9403871265,,,,,483328,540672,10000,10000,true,
sqlite-turso-local-v1,async-first-prepared,true,turso-async,10000,1,put,append,100,100,86980417,1149.6840719905954,803166,1031625,1814500,4597250,515008,1491024,10100,10100,true,
sqlite-turso-local-v1,async-first-prepared,true,turso-async,10000,1,put,random,100,100,93603542,1068.3356405465938,896833,1163458,1318916,2259084,515008,2662344,10000,10000,true,
sqlite-turso-local-v1,async-first-prepared,true,turso-async,10000,1,put,clustered,100,100,78300792,1277.1262901146645,748000,985125,1078084,1082917,515008,4103528,10000,10000,true,
sqlite-turso-local-v1,async-first-prepared,true,turso-async,10000,1,batch,append,100,100,1067917,93640.23608576322,,,,,515008,560328,10100,10100,true,
sqlite-turso-local-v1,async-first-prepared,true,turso-async,10000,1,batch,random,100,100,8668958,11535.411753061902,,,,,515008,955848,10000,10000,true,
sqlite-turso-local-v1,async-first-prepared,true,turso-async,10000,1,batch,clustered,100,100,1513458,66073.85206593113,,,,,515008,572688,10000,10000,true,
sqlite-turso-local-v1,async-first-prepared,true,turso-async,10000,1,diff,append,100,100,192584,519253.93594483443,,,,,515008,560328,10100,10100,true,
sqlite-turso-local-v1,async-first-prepared,true,turso-async,10000,1,diff,random,100,100,6115833,16351.002390026018,,,,,515008,955848,10000,10000,true,
sqlite-turso-local-v1,async-first-prepared,true,turso-async,10000,1,diff,clustered,100,100,506750,197335.9644795264,,,,,515008,572688,10000,10000,true,
sqlite-turso-local-v1,async-first-prepared,true,turso-async,10000,1,merge,append,100,200,1480167,135119.888499068,,,,,515008,638608,10200,10200,true,
sqlite-turso-local-v1,async-first-prepared,true,turso-async,10000,1,merge,random,100,200,14268166,14017.218470825192,,,,,515008,1796328,10000,10000,true,
sqlite-turso-local-v1,async-first-prepared,true,turso-async,10000,1,merge,clustered,100,200,1550416,128997.63676329449,,,,,515008,630368,10000,10000,true,
