schema,records,api,pattern,repetitions,configured_changes,sqlite_latency_median_ns,sqlite_latency_min_ns,sqlite_latency_max_ns,sqlite_throughput_median_ops_sec,sqlite_throughput_min_ops_sec,sqlite_throughput_max_ops_sec,sqlite_p50_ns_median,sqlite_p95_ns_median,sqlite_p99_ns_median,sqlite_max_ns_median,turso_latency_median_ns,turso_latency_min_ns,turso_latency_max_ns,turso_throughput_median_ops_sec,turso_throughput_min_ops_sec,turso_throughput_max_ops_sec,turso_p50_ns_median,turso_p95_ns_median,turso_p99_ns_median,turso_max_ns_median,turso_over_sqlite_latency_ratio,turso_over_sqlite_throughput_ratio
sqlite-turso-local-v1,10000,batch,append,1,100,846166.0,846166,846166,118180.12068553924,118180.12068553924,118180.12068553924,,,,,1067917.0,1067917,1067917,93640.23608576322,93640.23608576322,93640.23608576322,,,,,1.26206559942139,0.7923518400774592
sqlite-turso-local-v1,10000,batch,clustered,1,100,1210334.0,1210334,1210334,82621.82174507203,82621.82174507203,82621.82174507203,,,,,1513458.0,1513458,1513458,66073.85206593113,66073.85206593113,66073.85206593113,,,,,1.2504465709465322,0.7997142966636669
sqlite-turso-local-v1,10000,batch,random,1,100,6458875.0,6458875,6458875,15482.572429409147,15482.572429409147,15482.572429409147,,,,,8668958.0,8668958,8668958,11535.411753061902,11535.411753061902,11535.411753061902,,,,,1.3421777012250586,0.7450578258655769
sqlite-turso-local-v1,10000,diff,append,1,100,139666.0,139666,139666,715993.8710924635,715993.8710924635,715993.8710924635,,,,,192584.0,192584,192584,519253.93594483443,519253.93594483443,519253.93594483443,,,,,1.3788896367047099,0.7252212021767124
sqlite-turso-local-v1,10000,diff,clustered,1,100,344208.0,344208,344208,290522.00994747365,290522.00994747365,290522.00994747365,,,,,506750.0,506750,506750,197335.9644795264,197335.9644795264,197335.9644795264,,,,,1.4722202854088227,0.6792461766156881
sqlite-turso-local-v1,10000,diff,random,1,100,4134667.0,4134667,4134667,24185.744583542037,24185.744583542037,24185.744583542037,,,,,6115833.0,6115833,6115833,16351.002390026018,16351.002390026018,16351.002390026018,,,,,1.4791597485359764,0.676059499989617
sqlite-turso-local-v1,10000,merge,append,1,100,580334.0,580334,580334,344629.1273645866,344629.1273645866,344629.1273645866,,,,,1480167.0,1480167,1480167,135119.888499068,135119.888499068,135119.888499068,,,,,2.5505433078192903,0.3920733268610907
sqlite-turso-local-v1,10000,merge,clustered,1,100,251959.0,251959,251959,793779.9403871265,793779.9403871265,793779.9403871265,,,,,1550416.0,1550416,1550416,128997.63676329449,128997.63676329449,128997.63676329449,,,,,6.153445600276235,0.16251057780621458
sqlite-turso-local-v1,10000,merge,random,1,100,9375500.0,9375500,9375500,21332.1956162338,21332.1956162338,21332.1956162338,,,,,14268166.0,14268166,14268166,14017.218470825192,14017.218470825192,14017.218470825192,,,,,1.5218565409844809,0.657092158866108
sqlite-turso-local-v1,10000,put,append,1,100,16712500.0,16712500,16712500,5983.545250560957,5983.545250560957,5983.545250560957,158750.0,228291.0,325333.0,1068375.0,86980417.0,86980417,86980417,1149.6840719905954,1149.6840719905954,1149.6840719905954,803166.0,1031625.0,1814500.0,4597250.0,5.204512610321616,0.19214095053142827
sqlite-turso-local-v1,10000,put,clustered,1,100,10931916.0,10931916,10931916,9147.527295306696,9147.527295306696,9147.527295306696,92625.0,208625.0,336750.0,698416.0,78300792.0,78300792,78300792,1277.1262901146645,1277.1262901146645,1277.1262901146645,748000.0,985125.0,1078084.0,1082917.0,7.1625863206413225,0.13961437324925144
sqlite-turso-local-v1,10000,put,random,1,100,28037458.0,28037458,28037458,3566.657148447623,3566.657148447623,3566.657148447623,223833.0,386375.0,1143250.0,4392083.0,93603542.0,93603542,93603542,1068.3356405465938,1068.3356405465938,1068.3356405465938,896833.0,1163458.0,1318916.0,2259084.0,3.3385174219431732,0.2995341565172822
