schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,1,put,append,100,100,22742583,4397.037926606666,199250,305750,1293250,1591708,483328,4166448,10100,10100,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,1,put,random,100,100,29887500,3345.8803847762442,239833,416791,1248041,4485000,483328,6524504,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,1,put,clustered,100,100,11239916,8896.863642041453,92709,213167,439459,766416,483328,3770928,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,1,put,append,100,100,86257000,1159.326199612785,811958,1112459,1817875,1937750,515008,1491024,10100,10100,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,1,put,random,100,100,117007333,854.6472894993684,1077667,1817417,2182166,2500125,515008,2662344,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,1,put,clustered,100,100,82457750,1212.7422831692595,772750,1023083,1448042,1974000,515008,4103528,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,2,put,append,100,100,84849834,1178.5526887418541,786709,959375,1804750,3611417,515008,1491024,10100,10100,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,2,put,random,100,100,104516709,956.7848141869832,946375,1547541,2031667,2163792,515008,2662344,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,2,put,clustered,100,100,79147833,1263.4584701769409,743625,949583,1381291,1921833,515008,4103528,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,2,put,append,100,100,15258958,6553.52744269956,121625,185375,266542,2758583,483328,4166448,10100,10100,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,2,put,random,100,100,23042917,4339.728342553159,176708,312333,957833,4080458,483328,6524504,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,2,put,clustered,100,100,9668417,10342.954798081217,79583,192750,303208,683667,483328,3770928,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,3,put,append,100,100,12990791,7697.760667537489,116208,171750,183667,1199334,483328,4166448,10100,10100,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,3,put,random,100,100,22224458,4499.547300546092,171834,293583,901000,4126167,483328,6524504,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,sqlite-sync,10000,3,put,clustered,100,100,9686292,10323.867998197866,80000,199375,310917,705125,483328,3770928,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,3,put,append,100,100,83640250,1195.5966176571687,798375,996209,1592042,1810375,515008,1491024,10100,10100,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,3,put,random,100,100,106226583,941.3839471801517,971750,1432500,2356584,2432875,515008,2662344,10000,10000,true,
sqlite-turso-local-v1,async-first-coalesced,true,turso-async,10000,3,put,clustered,100,100,78538625,1273.2588583006132,737250,1036583,1478042,1730334,515008,4103528,10000,10000,true,
