schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,10000,1,put,append,100,100,19983041,5004.243348147062,140459,356042,599917,3774709,483328,4166448,10100,10100,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,10000,1,put,random,100,100,32944250,3035.4310691547084,216833,838750,1336541,4681375,483328,6524504,10000,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,10000,1,put,clustered,100,100,15440417,6476.509021744685,116584,307042,424500,1892084,483328,3770928,10000,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,10000,1,batch,append,100,100,1036417,96486.25987416261,,,,,483328,557328,10100,10100,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,10000,1,batch,random,100,100,10193667,9810.012432228756,,,,,483328,998168,10000,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,10000,1,batch,clustered,100,100,1974958,50633.98816582429,,,,,483328,590288,10000,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,10000,1,diff,append,100,100,179792,556198.2735605589,,,,,483328,499712,10100,10100,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,10000,1,diff,random,100,100,4073458,24549.1668258271,,,,,483328,925696,10000,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,10000,1,diff,clustered,100,100,350791,285070.02745224367,,,,,483328,520192,10000,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,10000,1,merge,append,100,200,956625,209068.3392133804,,,,,483328,536576,10200,10200,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,10000,1,merge,random,100,200,57271500,3492.138323598998,,,,,483328,1736704,10000,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,10000,1,merge,clustered,100,200,444500,449943.7570303712,,,,,483328,540672,10000,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,10000,1,put,append,100,100,173928666,574.9483526769532,1213250,4090542,5037750,12247625,515008,4099408,10100,10100,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,10000,1,put,random,100,100,514285083,194.44468312529298,3457916,6986917,61584875,102269417,515008,3971688,10000,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,10000,1,put,clustered,100,100,281832917,354.8201575048808,2166417,3692042,25894541,44118334,515008,3110608,10000,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,10000,1,batch,append,100,100,3249667,30772.383755012437,,,,,515008,560328,10100,10100,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,10000,1,batch,random,100,100,267151416,374.31955816397397,,,,,515008,955848,10000,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,10000,1,batch,clustered,100,100,6009584,16640.086901189832,,,,,515008,572688,10000,10000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,10000,1,diff,append,100,100,1137208,87934.66102946867,,,,,515008,560328,10100,10100,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,10000,1,diff,random,100,100,26793666,3732.2253699810994,,,,,515008,955848,10000,10000,true,
