schema,records,api,pattern,repetitions,configured_changes,sqlite_latency_median_ns,sqlite_latency_min_ns,sqlite_latency_max_ns,sqlite_throughput_median_ops_sec,sqlite_throughput_min_ops_sec,sqlite_throughput_max_ops_sec,sqlite_p50_ns_median,sqlite_p95_ns_median,sqlite_p99_ns_median,sqlite_max_ns_median,turso_latency_median_ns,turso_latency_min_ns,turso_latency_max_ns,turso_throughput_median_ops_sec,turso_throughput_min_ops_sec,turso_throughput_max_ops_sec,turso_p50_ns_median,turso_p95_ns_median,turso_p99_ns_median,turso_max_ns_median,turso_over_sqlite_latency_ratio,turso_over_sqlite_throughput_ratio
sqlite-turso-local-v1,10000,batch,append,3,100,1036417.0,892958,2517333,96486.25987416261,39724.58153132701,111987.34990895429,,,,,2143959.0,1703250,3249667,46642.682999068544,30772.383755012437,58711.287244972846,,,,,2.068625852335498,0.48341269585845625
sqlite-turso-local-v1,10000,batch,clustered,3,100,1974958.0,1653625,2195792,50633.98816582429,45541.654218614516,60473.20281200393,,,,,5750042.0,4515125,6009584,17391.17731661786,16640.086901189832,22147.78106918413,,,,,2.911475585809926,0.34346844770872975
sqlite-turso-local-v1,10000,batch,random,3,100,6912959.0,6661583,10193667,14465.58557630676,9810.012432228756,15011.446978893755,,,,,180607917.0,83269334,267151416,553.6855840046037,374.31955816397397,1200.9222987180372,,,,,26.125992791220085,0.03827605741114881
sqlite-turso-local-v1,10000,diff,append,3,100,137542.0,127625,179792,727050.6463480246,556198.2735605589,783545.5435847208,,,,,1137208.0,730042,1503375,87934.66102946867,66517.00340899643,136978.4204196471,,,,,8.268078114321444,0.1209470914731518
sqlite-turso-local-v1,10000,diff,clustered,3,100,349875.0,320000,350791,285816.362986781,285070.02745224367,312500.0,,,,,1222750.0,1058916,51521958,81782.86648947046,1940.9200248173797,94436.19701657166,,,,,3.4948195784208647,0.28613780413003476
sqlite-turso-local-v1,10000,diff,random,3,100,4073458.0,3695625,5962084,24549.1668258271,16772.65868780111,27059.022492812448,,,,,11524209.0,10632500,26793666,8677.385146347138,3732.2253699810994,9405.125793557489,,,,,2.829097292766981,0.35346963943468923
sqlite-turso-local-v1,10000,merge,append,3,100,956625.0,857541,976875,209068.3392133804,204734.48496481127,233225.00032068437,,,,,12583625.0,4485167,16474125,15893.671338743803,12140.25024090809,44591.42769934765,,,,,13.154187900169868,0.07602141672212895
sqlite-turso-local-v1,10000,merge,clustered,3,100,414667.0,394084,444500,482314.7248273916,449943.7570303712,507506.0139462653,,,,,5964833.0,3135334,31859625,33529.857415957835,6277.537792739243,63789.0572423863,,,,,14.384633935181725,0.06951862692551494
sqlite-turso-local-v1,10000,merge,random,3,100,20249333.0,17895666,57271500,9876.868536855016,3492.138323598998,11175.890296566778,,,,,40751417.0,27674750,54444958,4907.804800996245,3673.43473751968,7226.804216840261,,,,,2.0124819419977933,0.4968988685718585
sqlite-turso-local-v1,10000,put,append,3,100,19983041.0,14038833,28059667,5004.243348147062,3563.8341680961503,7123.09919207672,140459.0,356042.0,599917.0,1844750.0,163417750.0,104385416,173928666,611.928630763794,574.9483526769532,957.9882308463474,1213250.0,3199167.0,3623209.0,12247625.0,8.177821884066594,0.12228194917626756
sqlite-turso-local-v1,10000,put,clustered,3,100,13850084.0,10601417,15440417,7220.172816280392,6476.509021744685,9432.701307759142,99833.0,260709.0,407417.0,1770708.0,125899875.0,100017834,281832917,794.281964140155,354.8201575048808,999.8216917994845,1087000.0,2196791.0,4268083.0,6378250.0,9.090188550480994,0.11000871923026134
sqlite-turso-local-v1,10000,put,random,3,100,32944250.0,23638583,40352125,3035.4310691547084,2478.1842344114466,4230.372015107674,216833.0,838750.0,1336541.0,4681375.0,185677208.0,131646666,514285083,538.5690633607545,194.44468312529298,759.6090583866362,1595000.0,3536208.0,4073750.0,4572625.0,5.6361036599710115,0.17742753865622538
sqlite-turso-local-v1,50000,batch,append,3,500,5781125.0,4586000,32323417,86488.35650500552,15468.66162076862,109027.47492368077,,,,,3946708.0,3244417,4235917,126687.86239063037,118038.19574368431,154110.89265035908,,,,,0.6826885770503146,1.464796736926066
sqlite-turso-local-v1,50000,batch,clustered,3,500,6698666.0,6088291,9317250,74641.72717373878,53663.90297566342,82124.85244217138,,,,,21394292.0,8290000,44301416,23370.719629329167,11286.32096093723,60313.63088057901,,,,,3.193813813078604,0.31310528995303977
sqlite-turso-local-v1,50000,batch,random,3,500,56810833.0,37964042,97437167,8801.138332190974,5131.51208511635,13170.357360788928,,,,,101317667.0,59356334,110361125,4934.973482956334,4530.580854444896,8423.700830310712,,,,,1.783421605523721,0.5607199087993213
sqlite-turso-local-v1,50000,diff,append,3,500,512041.0,448667,662084,976484.3049677663,755191.1842001921,1114412.2478363686,,,,,2164375.0,998875,3370541,231013.5720473578,148344.13822588124,500563.13352521585,,,,,4.226956435129218,0.23657684088940226
sqlite-turso-local-v1,50000,diff,clustered,3,500,777209.0,666875,1102750,643327.5991399997,453411.9247336205,749765.6982193064,,,,,1715417.0,1482583,2006334,291474.3179063749,249210.74955615564,337249.24675380735,,,,,2.207150200267882,0.45307292629139145
sqlite-turso-local-v1,50000,diff,random,3,500,20766209.0,18865792,23499583,24077.577183201807,21276.973297781497,26502.995474560517,,,,,41642209.0,38281917,46928834,12007.047945030967,10654.430493627862,13060.996919250412,,,,,2.005287002553042,0.49868173419906714
sqlite-turso-local-v1,50000,merge,append,3,500,3215000.0,2469042,14457417,311041.9906687403,69168.64886722158,405015.38653453445,,,,,6953834.0,6926958,9519625,143805.56107609125,105046.1546542012,144363.5142583512,,,,,2.162934370139969,0.46233487885963337
sqlite-turso-local-v1,50000,merge,clustered,3,500,3818333.0,1787875,6830792,261894.39213394956,146395.90841003502,559323.2189051248,,,,,4781667.0,4507334,22875000,209132.08719887855,43715.84699453552,221860.63868353222,,,,,1.2522917723519662,0.7985359499103555
sqlite-turso-local-v1,50000,merge,random,3,500,182397583.0,91021959,322317417,5482.5287898688875,3102.5316885063025,10986.359895857659,,,,,211498666.0,138720000,241612334,4728.162209779612,4138.861553317886,7208.76585928489,,,,,1.159547525363864,0.8624053590957401
sqlite-turso-local-v1,50000,put,append,3,500,182065916.0,112019583,225606500,2746.258118955115,2216.248202068646,4463.505278358339,169917.0,632417.0,5026834.0,20834333.0,870701833.0,673214333,2169328667,574.2493940517522,230.48605202431503,742.7055181250872,1510708.0,3302333.0,4475250.0,7239959.0,4.782343956130702,0.20910248388095445
sqlite-turso-local-v1,50000,put,clustered,3,500,193737291.0,152092667,336238375,2580.8144493978702,1487.040258269152,3287.4694741200115,210875.0,814458.0,6395417.0,9312959.0,1248375041.0,922342000,2912428000,400.5206637257657,171.6780638010622,542.0982672370986,1879916.0,4022875.0,6723917.0,89942584.0,6.443648688160918,0.15519157675950365
sqlite-turso-local-v1,50000,put,random,3,500,270472958.0,174633417,460112625,1848.6136421815595,1086.690459754283,2863.140449230287,259667.0,928500.0,7453500.0,31208459.0,1324240458.0,965484167,3233265541,377.5749313347138,154.64241759906847,517.8748829756832,2055959.0,4095417.0,6745208.0,75433000.0,4.8960179523751135,0.20424761708949388
sqlite-turso-local-v1,100000,batch,append,3,1000,8366875.0,6983750,10697708,119518.93628146709,93477.96743003267,143189.54716305708,,,,,4783375.0,3957292,6378959,209057.4123918781,156765.39071657302,252698.05715625736,,,,,0.5717038918353626,1.7491572373062954
sqlite-turso-local-v1,100000,batch,clustered,3,1000,12870709.0,11844709,18837917,77695.79748870089,53084.42541709893,84425.88163204347,,,,,18132000.0,8891667,35928083,55151.11405250386,27833.380367107256,112464.85051678162,,,,,1.4087802000651246,0.7098339399955879
sqlite-turso-local-v1,100000,batch,random,3,1000,104986875.0,91012125,108315875,9525.000148828127,9232.257044500633,10987.546988931419,,,,,213800625.0,136313209,424202250,4677.254802225204,2357.366091292538,7336.04620811179,,,,,2.0364509849445467,0.49105036526436724
sqlite-turso-local-v1,100000,diff,append,3,1000,1094667.0,983417,2620166,913519.819269239,381655.2081051353,1016862.6330437647,,,,,1400875.0,1209583,2008625,713839.5645578656,497853.00889912253,826731.195792269,,,,,1.2797270768187952,0.7814166146158651
sqlite-turso-local-v1,100000,diff,clustered,3,1000,1783875.0,1604459,1856875,560577.394716558,538539.2123864018,623263.0438047965,,,,,3132792.0,1975167,5490000,319204.0837693661,182149.36247723133,506286.30389227846,,,,,1.7561723775488753,0.569420184934078
sqlite-turso-local-v1,100000,diff,random,3,1000,69025709.0,44990333,103580917,14487.355718432389,9654.287961169526,22226.997075127227,,,,,78075291.0,69937584,84474542,12808.149507889762,11837.88602251315,14298.463612926635,,,,,1.1311045135371227,0.884091600760092
sqlite-turso-local-v1,100000,merge,append,3,1000,3718833.0,2829375,6456416,537803.122646271,309769.3828898262,706869.8917605479,,,,,7724875.0,7176667,8162625,258903.8657583456,245019.21869496637,278680.8974137995,,,,,2.0772309485260565,0.48141011990485283
sqlite-turso-local-v1,100000,merge,clustered,3,1000,3186792.0,2755042,3664292,627590.3792905216,545808.0305827155,725941.7460786442,,,,,5716292.0,4907167,9472916,349877.1581297806,211128.23126479745,407567.13598701655,,,,,1.7937449322076873,0.5574928642553599
sqlite-turso-local-v1,100000,merge,random,3,1000,426940958.0,257627333,664120500,4684.488481426043,3011.5016777828723,7763.1514354884075,,,,,580628334.0,283608583,596634792,3444.5442684855266,3352.134382401219,7051.972753589055,,,,,1.3599733713062967,0.7353085149303099
sqlite-turso-local-v1,100000,put,append,3,1000,566632292.0,331441416,731178541,1764.8129379820098,1367.6550171075112,3017.124450132086,278625.0,951750.0,8570250.0,37771541.0,1910938000.0,1490469791,2995093375,523.3032154889379,333.87940701514856,670.9293982597733,1583667.0,3443333.0,5045916.0,83381000.0,3.3724481060814657,0.2965205004034668
sqlite-turso-local-v1,100000,put,clustered,3,1000,485955750.0,353606833,600053833,2057.8005301923067,1666.5171439709811,2827.999650108571,276958.0,897292.0,7192208.0,11618125.0,1983407083.0,1905855250,2707366292,504.18293277820266,369.36265438293344,524.698819598183,1703375.0,3954125.0,5200791.0,55284958.0,4.081456146984577,0.24501059523543103
sqlite-turso-local-v1,100000,put,random,3,1000,634393333.0,394637000,876908750,1576.3091255563368,1140.369508229904,2533.974259889468,317125.0,1290667.0,8288083.0,29936417.0,2615105292.0,1879364458,4637958167,382.3937808772558,215.6121215398621,532.094770518428,1970750.0,4249583.0,6902083.0,111260042.0,4.122214336070269,0.24258806516919396
sqlite-turso-local-v1,500000,batch,append,3,5000,49557333.0,38746084,56386875,100893.2421766926,88673.11763597469,129045.29913268138,,,,,11069208.0,10907958,11161958,451703.5003769014,447950.081876316,458380.93619355705,,,,,0.22336165668963662,4.477044157088746
sqlite-turso-local-v1,500000,batch,clustered,3,5000,126898291.0,56841500,127508000,39401.63386439932,39213.22583681024,87963.89961559777,,,,,24297042.0,23398875,31872833,205786.36691659832,156873.41002916184,213685.4870159356,,,,,0.19146863057438654,5.222787654563054
sqlite-turso-local-v1,500000,batch,random,3,5000,668828958.0,569179958,732129375,7475.752866549777,6829.394053475863,8784.567920432644,,,,,697208250.0,662785875,697913542,7171.458455920451,7164.2111796134195,7543.914541027297,,,,,1.0424313147039306,0.9592958172827128
sqlite-turso-local-v1,500000,diff,append,3,5000,7255792.0,6897000,53390125,689104.6490858613,93650.27708775733,724952.8780629259,,,,,4066416.0,3379375,4557375,1229583.9874720147,1097122.795468883,1479563.5287590162,,,,,0.5604372341434264,1.784321131925509
sqlite-turso-local-v1,500000,diff,clustered,3,5000,6860958.0,5944750,7742667,728761.2021528189,645772.3159216327,841078.26233231,,,,,9334166.0,9240292,13820208,535666.4966104096,361789.05556269485,541108.4411618161,,,,,1.3604756070507937,0.7350370670502325
sqlite-turso-local-v1,500000,diff,random,3,5000,594142792.0,322622875,1101458208,8415.485414152765,4539.436869855347,15497.97112185551,,,,,367263000.0,329173958,376512583,13614.22196082916,13279.768660480599,15189.53695601886,,,,,0.6181392839315973,1.6177583693429503
sqlite-turso-local-v1,500000,merge,append,3,5000,132362292.0,101067250,152699125,75550.21788229536,65488.260001489856,98944.01994711442,,,,,61615292.0,57340250,84012333,162297.37254186833,119030.14287199952,174397.56540998688,,,,,0.46550487354812503,2.148205221521956
sqlite-turso-local-v1,500000,merge,clustered,3,5000,3750458.0,3737458,6654042,2666341.0175503897,1502845.9393553573,2675615.351396591,,,,,5433625.0,5175208,6341750,1840392.003496745,1576851.8153506524,1932289.4847897901,,,,,1.4487897211487237,0.6902312912650395
sqlite-turso-local-v1,500000,merge,random,3,5000,3973080875.0,2352597459,4414987167,2516.9384451556125,2265.0122461839537,4250.6209303867145,,,,,2478552083.0,2407094500,2633709459,4034.613623247392,3796.926029873062,4154.3861281723675,,,,,0.6238363026023225,1.6029846224538666
sqlite-turso-local-v1,500000,put,append,3,5000,3577970166.0,2379732750,3941824167,1397.4403832410267,1268.4482585141145,2101.0762658117806,301000.0,1452917.0,14892542.0,56133792.0,10226079041.0,8918635583,11418809000,488.945956700825,437.8740374762377,560.6238704864908,1651333.0,4125792.0,8169917.0,45256917.0,2.858067162821614,0.3498868091723759
sqlite-turso-local-v1,500000,put,clustered,3,5000,2898901250.0,2360692209,4399693833,1724.791418817733,1136.4427139219076,2118.022832852921,291209.0,833584.0,13297333.0,22227166.0,11872360708.0,10288970958,12580150166,421.146233927245,397.45153547636914,485.9572468821425,2044625.0,4717291.0,7462459.0,23318250.0,4.095469174053445,0.2441722687928966
sqlite-turso-local-v1,500000,put,random,3,5000,4006032833.0,2907040708,4924470750,1248.117578770728,1015.3375365261332,1719.9621547232905,406167.0,1212541.0,14352875.0,47219959.0,12685285875.0,12544348500,15962485958,394.1574552808413,313.23441806970703,398.5858651806429,2383208.0,3761125.0,6809084.0,39250125.0,3.166545658463903,0.3158015414453559
sqlite-turso-local-v1,1000000,batch,append,3,10000,72613916.0,71206959,73088791,137714.6496272147,136819.88528172535,140435.71218931003,,,,,21507250.0,18658875,21556084,464959.49040439853,463906.1528986434,535937.9919743285,,,,,0.29618633981949133,3.37625293796278
sqlite-turso-local-v1,1000000,batch,clustered,3,10000,109532875.0,103331750,123777750,91296.79103191622,80789.9642706383,96775.67640149324,,,,,40162167.0,35776708,146516250,248990.54874205368,68251.81507170707,279511.4631564201,,,,,0.36666769679879213,2.7272650651544774
sqlite-turso-local-v1,1000000,batch,random,3,10000,1168323500.0,1088556292,1439873666,8559.273180758582,6945.053747513985,9186.479443912856,,,,,1454391209.0,1374804833,1716143583,6875.729128530506,5827.018262958479,7273.759707535157,,,,,1.2448531669524752,0.8033075920496712
sqlite-turso-local-v1,1000000,diff,append,3,10000,8382833.0,7523167,8662833,1192914.1377383994,1154356.779127567,1329227.438391305,,,,,5956333.0,5335875,16501334,1678885.3141689694,606011.6109400609,1874106.8709443156,,,,,0.7105393844777774,1.4073815214831005
sqlite-turso-local-v1,1000000,diff,clustered,3,10000,11636166.0,11485458,19733291,859389.5961951729,506757.8438892935,870666.1937207902,,,,,12341625.0,11668750,22477792,810266.0711211044,444883.5543989374,856989.823245849,,,,,1.060626412514225,0.9428390507732977
sqlite-turso-local-v1,1000000,diff,random,3,10000,503942709.0,497454750,1694669000,19843.525506785336,5900.857335562284,20102.330915525483,,,,,714088125.0,709523167,820620333,14003.873821595898,12185.903270812569,14093.972494628917,,,,,1.4170025922530016,0.705715011014922
sqlite-turso-local-v1,1000000,merge,append,3,10000,19130542.0,18620041,25544541,1045448.6861898634,782946.1488464404,1074111.4909467706,,,,,22012625.0,20654416,22785791,908569.5140856667,877739.9915587745,968315.9281772963,,,,,1.150653494292007,0.869071362456772
sqlite-turso-local-v1,1000000,merge,clustered,3,10000,6519083.0,6226291,6900209,3067916.1471022842,2898462.9306155797,3212185.231946274,,,,,6152666.0,6056125,7117375,3250623.3883002913,2810024.763343227,3302441.74286363,,,,,0.9437931684563611,1.0595541835035414
sqlite-turso-local-v1,1000000,merge,random,3,10000,8118974542.0,7903508458,16564565250,2463.365280496774,1207.3966142878396,2530.5217431324218,,,,,8541583583.0,8492602333,9380624375,2341.4861899619254,2132.0542429245284,2354.9907573424584,,,,,1.052052021941172,0.9505233383372725
sqlite-turso-local-v1,1000000,put,append,3,10000,5364424583.0,4966469875,6337250959,1864.1328338719231,1577.971278823708,2013.5025987648824,265417.0,522250.0,13690250.0,34774208.0,17838549792.0,17116318583,27495930625,560.5836862638166,363.69018151754227,584.2377817115441,1564167.0,2551167.0,8040584.0,43504917.0,3.3253426375926365,0.30072089074223773
