schema,revision,dirty,adapter,records,repetition,build_ns,records_per_sec,database_bytes,observed_records,validated,error
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,10000,1,8675375,1152687.9241531347,483328,10000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,10000,1,14419125,693523.3587336263,515008,10000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,50000,1,47662167,1049050.0778111913,2375680,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,50000,1,63838834,783222.3251445977,2290728,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,100000,1,78251000,1277938.9400774431,4747264,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,100000,1,125319583,797959.8846893705,4489296,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,500000,1,409684166,1220452.3423050721,23547904,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,500000,1,628897917,795041.5901918148,22278224,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,1000000,1,877680917,1139366.2327968788,47177728,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,1000000,1,1252739084,798250.8191625959,44539984,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,2000000,1,1695290750,1179738.6377528457,94461952,2000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,2000000,1,2454993500,814666.1080772718,89223248,2000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,10000,2,13083250,764336.0785737489,515008,10000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,10000,2,7687208,1300862.4197497973,483328,10000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,50000,2,59322000,842857.6244900711,2290728,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,50000,2,38969583,1283051.9638868088,2375680,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,100000,2,117507500,851009.5100312746,4489296,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,100000,2,76540666,1306495.0336334936,4747264,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,500000,2,621506792,804496.4374259003,22278224,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,500000,2,398743375,1253939.328772547,23547904,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,1000000,2,1362488291,733951.261530511,44539984,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,1000000,2,1227218250,814850.9851446555,47177728,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,2000000,2,2658786000,752223.0070415596,89223248,2000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,2000000,2,1719741167,1162965.705757278,94461952,2000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,10000,3,8197959,1219815.8102522835,483328,10000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,10000,3,12512375,799208.7833045286,515008,10000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,50000,3,38218208,1308276.9343868766,2375680,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,50000,3,60154375,831194.738537305,2290728,50000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,100000,3,83507083,1197503.2105959204,4747264,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,100000,3,153794583,650217.9598874429,4489296,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,500000,3,371163458,1347115.3725483397,23547904,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,500000,3,596424875,838328.5489224439,22278224,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,1000000,3,948594458,1054191.2738014332,47177728,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,1000000,3,1213590750,824001.0069292304,44539984,1000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,2000000,3,1703865083,1173801.8578786734,94461952,2000000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,2000000,3,2552997042,783392.9954079437,89223248,2000000,true,
