schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,10000,1,put,append,100,100,15962625,6264.633793000838,135917,203959,256333,2065292,483328,4166448,10100,10100,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,10000,1,put,random,100,100,26361125,3793.4648085011545,203959,344291,985750,4985458,483328,6524504,10000,10000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,10000,1,put,clustered,100,100,14594041,6852.111762602284,109375,338209,613667,1132209,483328,3770928,10000,10000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,10000,1,batch,append,100,100,1856708,53858.76508314716,,,,,483328,557328,10100,10100,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,10000,1,batch,random,100,100,7367875,13572.434385762517,,,,,483328,998168,10000,10000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,10000,1,batch,clustered,100,100,2359500,42381.86056367875,,,,,483328,590288,10000,10000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,10000,1,diff,append,100,100,143125,698689.9563318777,,,,,483328,499712,10100,10100,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,10000,1,diff,random,100,100,4061917,24618.917619439293,,,,,483328,925696,10000,10000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,10000,1,diff,clustered,100,100,387959,257759.19620372256,,,,,483328,520192,10000,10000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,10000,1,merge,append,100,200,1004125,199178.3891447778,,,,,483328,536576,10200,10200,true,
