schema,records,api,pattern,repetitions,configured_changes,sqlite_latency_median_ns,sqlite_latency_min_ns,sqlite_latency_max_ns,sqlite_throughput_median_ops_sec,sqlite_throughput_min_ops_sec,sqlite_throughput_max_ops_sec,sqlite_p50_ns_median,sqlite_p95_ns_median,sqlite_p99_ns_median,sqlite_max_ns_median,turso_latency_median_ns,turso_latency_min_ns,turso_latency_max_ns,turso_throughput_median_ops_sec,turso_throughput_min_ops_sec,turso_throughput_max_ops_sec,turso_p50_ns_median,turso_p95_ns_median,turso_p99_ns_median,turso_max_ns_median,turso_over_sqlite_latency_ratio,turso_over_sqlite_throughput_ratio
sqlite-turso-local-v1,10000,batch,append,3,100,1228458.0,1158583,1856708,81402.86440399264,53858.76508314716,86312.3315291179,,,,,1737417.0,1733375,2120375,57556.7063059703,47161.46907976183,57690.92089132473,,,,,1.414307204641917,0.7070599631521967
sqlite-turso-local-v1,10000,batch,clustered,3,100,1703750.0,1514417,2359500,58694.057226705794,42381.86056367875,66032.01099829175,,,,,3918750.0,3749792,4536041,25518.341307814993,22045.656112896686,26668.145859823693,,,,,2.3000733675715335,0.43476874003189797
sqlite-turso-local-v1,10000,batch,random,3,100,6629709.0,6553667,7367875,15083.618300592078,13572.434385762517,15258.633067563549,,,,,85365417.0,85225583,85594666,1171.4345634837114,1168.2970992608348,1173.3565964576624,,,,,12.87619366098874,0.07766270268439032
sqlite-turso-local-v1,10000,diff,append,3,100,129875.0,120250,143125,769971.1260827719,698689.9563318777,831600.8316008316,,,,,759958.0,738666,904541,131586.2192384316,110553.3082524728,135379.18355521982,,,,,5.851457170356111,0.17089760223591305
sqlite-turso-local-v1,10000,diff,clustered,3,100,347292.0,323834,387959,287942.1351485206,257759.19620372256,308800.18775051413,,,,,1222125.0,1190708,1354625,81824.69060038867,73821.16821998708,83983.64670431374,,,,,3.5190128191838568,0.2841706044799018
sqlite-turso-local-v1,10000,diff,random,3,100,3883291.0,3830250,4061917,25751.353684284797,24618.917619439293,26107.956399712813,,,,,10761708.0,10491083,19689875,9292.205289346264,5078.752404471841,9531.904380129297,,,,,2.771285489549972,0.36084337170270747
sqlite-turso-local-v1,10000,merge,append,3,100,952125.0,848834,1004125,210056.4526716555,199178.3891447778,235617.32918332677,,,,,4908208.0,4314083,5386083,40748.06935647389,37132.736350331026,46359.794190329674,,,,,5.1550038072732045,0.19398627768016352
sqlite-turso-local-v1,10000,merge,clustered,3,100,411125.0,396792,437958,486470.051687443,456664.79434100987,504042.4202100849,,,,,3627750.0,3584000,3727083,55130.59058645166,53661.268074792,55803.57142857143,,,,,8.823958650045606,0.1133278202742747
sqlite-turso-local-v1,10000,merge,random,3,100,18541291.0,18479834,20103958,10786.735400463755,9948.289784528997,10822.6080385787,,,,,29953958.0,28761625,31802833,6676.9139490681,6288.747923809177,6953.710021599962,,,,,1.6155270957130223,0.618993022558154
sqlite-turso-local-v1,10000,put,append,3,100,14376208.0,14160416,15962625,6955.937198460122,6264.633793000838,7061.939423248583,132875.0,187750.0,256333.0,1298625.0,108493333.0,106273375,110471959,921.7156228392394,905.207085175343,940.9694573076276,1050917.0,1311750.0,1423292.0,1834792.0,7.546728107996212,0.13250775510786456
sqlite-turso-local-v1,10000,put,clustered,3,100,11149542.0,10885333,14594041,8968.978277313992,6852.111762602284,9186.67348072861,88958.0,194875.0,334666.0,1071583.0,106624334.0,99459750,116400750,937.8722121725046,859.1009937650746,1005.4318455455599,993250.0,1323958.0,1974667.0,2438375.0,9.563113354790717,0.10456845620250252
sqlite-turso-local-v1,10000,put,random,3,100,25426667.0,24773334,26361125,3932.878815772433,3793.4648085011545,4036.5983843757163,191541.0,339416.0,1308375.0,4502500.0,139950500.0,130349084,175593375,714.5383546325307,569.4975678894491,767.1707152157663,1349709.0,1923209.0,2366500.0,2562083.0,5.504083567067599,0.18168328801969266
sqlite-turso-local-v1,50000,batch,append,3,500,4006375.0,3931500,4253250,124801.0982496646,117557.16217010522,127177.92191275595,,,,,3186833.0,2669958,3240459,156895.57626646894,154299.12861110107,187268.86340534195,,,,,0.7954405166765468,1.257165028729149
sqlite-turso-local-v1,50000,batch,clustered,3,500,5070334.0,4022416,6065709,98612.83300074511,82430.59467574194,124303.40372552218,,,,,8611625.0,5417750,11204958,58061.05119533189,44623.10345116867,92289.23446080014,,,,,1.6984334759800834,0.5887778439028639
sqlite-turso-local-v1,50000,batch,random,3,500,50397125.0,36204375,50451042,9921.200862152355,9910.598080412294,13810.485611200304,,,,,68435542.0,58003583,70979250,7306.145102204348,7044.312246184624,8620.157137534072,,,,,1.3579255165845274,0.7364174159678607
sqlite-turso-local-v1,50000,diff,append,3,500,519292.0,453208,521625,962849.4180538118,958543.0146177809,1103246.1915941467,,,,,903541.0,861583,1157500,553378.3193015037,431965.44276457885,580327.1420164976,,,,,1.7399478520755183,0.5747298683734329
sqlite-turso-local-v1,50000,diff,clustered,3,500,704166.0,631084,812875,710059.8438436391,615100.7227433493,792287.5560147302,,,,,1539792.0,1481708,1802375,324719.18285067077,277411.74838754424,337448.40413900715,,,,,2.1866889341433695,0.4573124162224509
