schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso-local-v1,async-first,true,sqlite-sync,100,1,put,append,10,10,986375,10138.13204916994,60500,430541,430541,430541,20480,189240,110,110,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,100,1,put,random,10,10,705250,14179.369018078696,49542,227916,227916,227916,20480,189240,100,100,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,100,1,put,clustered,10,10,753042,13279.471795729853,46125,315625,315625,315625,20480,189240,100,100,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,100,1,batch,append,10,10,304417,32849.676594933924,,,,,20480,69760,110,110,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,100,1,batch,random,10,10,187625,53297.80146568954,,,,,20480,69760,100,100,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,100,1,batch,clustered,10,10,226250,44198.89502762431,,,,,20480,69760,100,100,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,100,1,diff,append,10,10,80666,123967.96667741056,,,,,20480,24576,110,110,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,100,1,diff,random,10,10,50292,198838.78151594687,,,,,20480,24576,100,100,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,100,1,diff,clustered,10,10,48833,204779.55480924784,,,,,20480,24576,100,100,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,100,1,merge,append,10,20,213542,93658.39038690281,,,,,20480,28672,120,120,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,100,1,merge,random,10,20,129583,154341.2330321107,,,,,20480,32768,100,100,true,
sqlite-turso-local-v1,async-first,true,sqlite-sync,100,1,merge,clustered,10,20,137625,145322.43415077202,,,,,20480,32768,100,100,true,
sqlite-turso-local-v1,async-first,true,turso-async,100,1,put,append,10,10,8534584,1171.7032722391625,799917,1124250,1124250,1124250,74168,337848,110,110,true,
sqlite-turso-local-v1,async-first,true,turso-async,100,1,put,random,10,10,8770625,1140.169600228034,820291,1147167,1147167,1147167,74168,329608,100,100,true,
sqlite-turso-local-v1,async-first,true,turso-async,100,1,put,clustered,10,10,7996750,1250.5080188826712,762750,959541,959541,959541,74168,329608,100,100,true,
sqlite-turso-local-v1,async-first,true,turso-async,100,1,batch,append,10,10,944333,10589.48485333034,,,,,74168,107128,110,110,true,
sqlite-turso-local-v1,async-first,true,turso-async,100,1,batch,random,10,10,1272209,7860.343701388687,,,,,74168,98888,100,100,true,
sqlite-turso-local-v1,async-first,true,turso-async,100,1,batch,clustered,10,10,971875,10289.389067524116,,,,,74168,98888,100,100,true,
sqlite-turso-local-v1,async-first,true,turso-async,100,1,diff,append,10,10,122291,81772.16639000417,,,,,74168,107128,110,110,true,
sqlite-turso-local-v1,async-first,true,turso-async,100,1,diff,random,10,10,105625,94674.55621301776,,,,,74168,98888,100,100,true,
sqlite-turso-local-v1,async-first,true,turso-async,100,1,diff,clustered,10,10,103750,96385.5421686747,,,,,74168,98888,100,100,true,
sqlite-turso-local-v1,async-first,true,turso-async,100,1,merge,append,10,20,1208375,16551.153408503156,,,,,74168,148328,120,120,true,
sqlite-turso-local-v1,async-first,true,turso-async,100,1,merge,random,10,20,888459,22510.886827642018,,,,,74168,140088,100,100,true,
sqlite-turso-local-v1,async-first,true,turso-async,100,1,merge,clustered,10,20,936542,21355.155454854135,,,,,74168,140088,100,100,true,
