schema,records,api,pattern,repetitions,configured_changes,sqlite_latency_median_ns,sqlite_latency_min_ns,sqlite_latency_max_ns,sqlite_throughput_median_ops_sec,sqlite_throughput_min_ops_sec,sqlite_throughput_max_ops_sec,sqlite_p50_ns_median,sqlite_p95_ns_median,sqlite_p99_ns_median,sqlite_max_ns_median,turso_latency_median_ns,turso_latency_min_ns,turso_latency_max_ns,turso_throughput_median_ops_sec,turso_throughput_min_ops_sec,turso_throughput_max_ops_sec,turso_p50_ns_median,turso_p95_ns_median,turso_p99_ns_median,turso_max_ns_median,turso_over_sqlite_latency_ratio,turso_over_sqlite_throughput_ratio
sqlite-turso-local-v1,100,batch,append,1,10,304417.0,304417,304417,32849.676594933924,32849.676594933924,32849.676594933924,,,,,944333.0,944333,944333,10589.48485333034,10589.48485333034,10589.48485333034,,,,,3.1021033647923737,0.3223619210596262
sqlite-turso-local-v1,100,batch,clustered,1,10,226250.0,226250,226250,44198.89502762431,44198.89502762431,44198.89502762431,,,,,971875.0,971875,971875,10289.389067524116,10289.389067524116,10289.389067524116,,,,,4.295580110497237,0.23279742765273312
sqlite-turso-local-v1,100,batch,random,1,10,187625.0,187625,187625,53297.80146568954,53297.80146568954,53297.80146568954,,,,,1272209.0,1272209,1272209,7860.343701388687,7860.343701388687,7860.343701388687,,,,,6.7805942704863424,0.14747969869730523
sqlite-turso-local-v1,100,diff,append,1,10,80666.0,80666,80666,123967.96667741056,123967.96667741056,123967.96667741056,,,,,122291.0,122291,122291,81772.16639000417,81772.16639000417,81772.16639000417,,,,,1.5160166612947215,0.6596233574016077
sqlite-turso-local-v1,100,diff,clustered,1,10,48833.0,48833,48833,204779.55480924784,204779.55480924784,204779.55480924784,,,,,103750.0,103750,103750,96385.5421686747,96385.5421686747,96385.5421686747,,,,,2.1245878811459464,0.4706795180722892
sqlite-turso-local-v1,100,diff,random,1,10,50292.0,50292,50292,198838.78151594687,198838.78151594687,198838.78151594687,,,,,105625.0,105625,105625,94674.55621301776,94674.55621301776,94674.55621301776,,,,,2.100234629762189,0.4761372781065089
sqlite-turso-local-v1,100,merge,append,1,10,213542.0,213542,213542,93658.39038690281,93658.39038690281,93658.39038690281,,,,,1208375.0,1208375,1208375,16551.153408503156,16551.153408503156,16551.153408503156,,,,,5.658722874188684,0.17671832005792903
sqlite-turso-local-v1,100,merge,clustered,1,10,137625.0,137625,137625,145322.43415077202,145322.43415077202,145322.43415077202,,,,,936542.0,936542,936542,21355.155454854135,21355.155454854135,21355.155454854135,,,,,6.805028156221617,0.14695016347371503
sqlite-turso-local-v1,100,merge,random,1,10,129583.0,129583,129583,154341.2330321107,154341.2330321107,154341.2330321107,,,,,888459.0,888459,888459,22510.886827642018,22510.886827642018,22510.886827642018,,,,,6.856292877923802,0.1458514123893168
sqlite-turso-local-v1,100,put,append,1,10,986375.0,986375,986375,10138.13204916994,10138.13204916994,10138.13204916994,60500.0,430541.0,430541.0,430541.0,8534584.0,8534584,8534584,1171.7032722391625,1171.7032722391625,1171.7032722391625,799917.0,1124250.0,1124250.0,1124250.0,8.6524739576733,0.11557388151549039
sqlite-turso-local-v1,100,put,clustered,1,10,753042.0,753042,753042,13279.471795729853,13279.471795729853,13279.471795729853,46125.0,315625.0,315625.0,315625.0,7996750.0,7996750,7996750,1250.5080188826712,1250.5080188826712,1250.5080188826712,762750.0,959541.0,959541.0,959541.0,10.61926160825027,0.09416850595554445
sqlite-turso-local-v1,100,put,random,1,10,705250.0,705250,705250,14179.369018078696,14179.369018078696,14179.369018078696,49542.0,227916.0,227916.0,227916.0,8770625.0,8770625,8770625,1140.169600228034,1140.169600228034,1140.169600228034,820291.0,1147167.0,1147167.0,1147167.0,12.436192839418647,0.08041046105608209
