schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso-local-v1,unified-ready,true,sqlite-sync,10000,1,put,append,100,100,20526833,4871.672118148961,185250,261459,334500,1754500,483328,4166448,10100,10100,true,
sqlite-turso-local-v1,unified-ready,true,sqlite-sync,10000,1,put,random,100,100,29611875,3377.023575845839,230083,432458,1191792,4749500,483328,6524504,10000,10000,true,
sqlite-turso-local-v1,unified-ready,true,sqlite-sync,10000,1,put,clustered,100,100,11484459,8707.41930464465,96458,213125,375250,698083,483328,3770928,10000,10000,true,
sqlite-turso-local-v1,unified-ready,true,turso-async,10000,1,put,append,100,100,95019958,1052.4104841216622,908958,1178750,1323458,1768500,515008,4099408,10100,10100,true,
sqlite-turso-local-v1,unified-ready,true,turso-async,10000,1,put,random,100,100,131519375,760.3442458573119,1284083,1731583,2364792,2404000,515008,2637720,10000,10000,true,
sqlite-turso-local-v1,unified-ready,true,turso-async,10000,1,put,clustered,100,100,97896208,1021.4900254359188,936959,1181834,1737709,1932666,515008,3984048,10000,10000,true,
sqlite-turso-local-v1,unified-ready,true,turso-async,10000,2,put,append,100,100,93935500,1064.5602567719338,913625,1062167,1238333,1858833,515008,4099408,10100,10100,true,
sqlite-turso-local-v1,unified-ready,true,turso-async,10000,2,put,random,100,100,130519375,766.1697736447175,1266167,1715333,2416958,2522292,515008,2637720,10000,10000,true,
sqlite-turso-local-v1,unified-ready,true,turso-async,10000,2,put,clustered,100,100,98706042,1013.1092076410074,932292,1261667,1669583,2236750,515008,3984048,10000,10000,true,
sqlite-turso-local-v1,unified-ready,true,sqlite-sync,10000,2,put,append,100,100,14598250,6850.13614645591,129000,185625,199042,1511000,483328,4166448,10100,10100,true,
sqlite-turso-local-v1,unified-ready,true,sqlite-sync,10000,2,put,random,100,100,23437417,4266.681776409064,183583,322583,963792,3844458,483328,6524504,10000,10000,true,
sqlite-turso-local-v1,unified-ready,true,sqlite-sync,10000,2,put,clustered,100,100,10692791,9352.095257449622,91125,192334,322166,668584,483328,3770928,10000,10000,true,
sqlite-turso-local-v1,unified-ready,true,sqlite-sync,10000,3,put,append,100,100,13279292,7530.5219585502,118833,168875,324625,1020583,483328,4166448,10100,10100,true,
sqlite-turso-local-v1,unified-ready,true,sqlite-sync,10000,3,put,random,100,100,23811833,4199.592698302562,187500,316500,1179625,3976125,483328,6524504,10000,10000,true,
sqlite-turso-local-v1,unified-ready,true,sqlite-sync,10000,3,put,clustered,100,100,10454250,9565.487720305138,88208,202708,318583,622167,483328,3770928,10000,10000,true,
sqlite-turso-local-v1,unified-ready,true,turso-async,10000,3,put,append,100,100,96186916,1039.6424395184893,939583,1135750,1203542,1545834,515008,4099408,10100,10100,true,
sqlite-turso-local-v1,unified-ready,true,turso-async,10000,3,put,random,100,100,129085667,774.6793453064003,1256750,1663792,2178375,2456708,515008,2637720,10000,10000,true,
sqlite-turso-local-v1,unified-ready,true,turso-async,10000,3,put,clustered,100,100,97833459,1022.1451947232082,928000,1234250,1708791,2052375,515008,3984048,10000,10000,true,
