schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso-local-v1,unified-writes,true,sqlite-sync,10000,1,put,append,100,100,52488042,1905.1958539432658,478416,571084,1654375,4575917,483328,5980000,10100,10100,true,
sqlite-turso-local-v1,unified-writes,true,sqlite-sync,10000,1,put,random,100,100,65130167,1535.386820058361,629375,831458,1625250,4237000,483328,6397648,10000,10000,true,
sqlite-turso-local-v1,unified-writes,true,sqlite-sync,10000,1,put,clustered,100,100,39114667,2556.5857431433583,347708,625209,811125,2078417,483328,4496048,10000,10000,true,
sqlite-turso-local-v1,unified-writes,true,turso-async,10000,1,put,append,100,100,101839625,981.9360587786924,980000,1198042,1543166,2081166,515008,4099408,10100,10100,true,
sqlite-turso-local-v1,unified-writes,true,turso-async,10000,1,put,random,100,100,139756792,715.5287307968546,1343791,1909500,2562625,2655375,515008,2637720,10000,10000,true,
sqlite-turso-local-v1,unified-writes,true,turso-async,10000,1,put,clustered,100,100,99580167,1004.2160302864324,921000,1317042,1982834,2010167,515008,3984048,10000,10000,true,
sqlite-turso-local-v1,unified-writes,true,turso-async,10000,2,put,append,100,100,92443834,1081.7379123414548,909250,1072792,1155417,1435875,515008,4099408,10100,10100,true,
sqlite-turso-local-v1,unified-writes,true,turso-async,10000,2,put,random,100,100,129242500,773.7392885467242,1246000,1690167,2236708,2617917,515008,2637720,10000,10000,true,
sqlite-turso-local-v1,unified-writes,true,turso-async,10000,2,put,clustered,100,100,100878750,991.2890474951365,946625,1272500,1849000,2229500,515008,3984048,10000,10000,true,
sqlite-turso-local-v1,unified-writes,true,sqlite-sync,10000,2,put,append,100,100,39019291,2562.8348808285623,341709,450083,1378042,3533750,483328,5980000,10100,10100,true,
sqlite-turso-local-v1,unified-writes,true,sqlite-sync,10000,2,put,random,100,100,60566542,1651.0765960519918,602875,798834,1329209,4177875,483328,6397648,10000,10000,true,
sqlite-turso-local-v1,unified-writes,true,sqlite-sync,10000,2,put,clustered,100,100,38059916,2627.4361719558183,352333,633000,766709,1076834,483328,4496048,10000,10000,true,
sqlite-turso-local-v1,unified-writes,true,sqlite-sync,10000,3,put,append,100,100,39179709,2552.3415704797603,343709,435291,1364958,3660125,483328,5980000,10100,10100,true,
sqlite-turso-local-v1,unified-writes,true,sqlite-sync,10000,3,put,random,100,100,60812250,1644.4055268469758,603542,762125,1316291,4175000,483328,6397648,10000,10000,true,
sqlite-turso-local-v1,unified-writes,true,sqlite-sync,10000,3,put,clustered,100,100,37459500,2669.5497804295305,343417,628083,824625,994209,483328,4496048,10000,10000,true,
sqlite-turso-local-v1,unified-writes,true,turso-async,10000,3,put,append,100,100,95176500,1050.679526984077,916791,1129958,1304542,1594084,515008,4099408,10100,10100,true,
sqlite-turso-local-v1,unified-writes,true,turso-async,10000,3,put,random,100,100,128760833,776.6336833189018,1238708,1701542,2371666,2627458,515008,2637720,10000,10000,true,
sqlite-turso-local-v1,unified-writes,true,turso-async,10000,3,put,clustered,100,100,97795167,1022.5454188344502,918750,1256833,1702625,2034792,515008,3984048,10000,10000,true,
