version,profile,records,run,workload,operations,total_ns,ns_per_op,ops_per_sec,nodes_read,nodes_written,bytes_read,bytes_written,cache_hits,cache_misses,cache_evictions,result_entries,num_nodes,num_leaves,num_internal,height,tree_bytes,db_bytes_before,db_bytes_after,wal_bytes_after,shm_bytes_after,fixture_bytes_after,sqlite_node_count,sqlite_node_payload_bytes,validated,status
original,full,1000,1,sorted_stream_build,1000,2250542,2250.542,444337.408,0,0,0,0,0,0,0,1000,5,4,1,1,41461,0,57344,0,0,57344,5,41461,true,ok
original,full,1000,1,shuffled_batch_build,1000,1297542,1297.542,770687.962,0,0,0,0,0,0,0,1000,5,4,1,1,41461,0,57344,0,0,57344,5,41461,true,ok
original,full,1000,1,random_reads_cold_manager,1000000,551438708,551.439,1813438.167,5,0,41461,0,1999995,5,0,1000,5,4,1,1,41461,57344,57344,0,32768,90112,5,41461,true,ok
original,full,1000,1,random_reads_warm_manager,1000000,553802167,553.802,1805698.965,0,0,0,0,2000000,0,0,1000,5,4,1,1,41461,57344,57344,0,32768,90112,5,41461,true,ok
original,full,1000,1,clustered_reads_cold_manager,1000000,555854167,555.854,1799033.019,5,0,41461,0,1999995,5,0,1000,5,4,1,1,41461,57344,57344,0,32768,90112,5,41461,true,ok
original,full,1000,1,clustered_reads_warm_manager,1000000,545890916,545.891,1831867.816,0,0,0,0,2000000,0,0,1000,5,4,1,1,41461,57344,57344,0,32768,90112,5,41461,true,ok
original,full,1000,1,right_edge_reads_cold_manager,1000000,553994542,553.995,1805071.935,5,0,41461,0,1999995,5,0,1000,5,4,1,1,41461,57344,57344,0,32768,90112,5,41461,true,ok
original,full,1000,1,right_edge_reads_warm_manager,1000000,548081625,548.082,1824545.751,0,0,0,0,2000000,0,0,1000,5,4,1,1,41461,57344,57344,0,32768,90112,5,41461,true,ok
original,full,1000,1,append_batch_upserts,100,710958,7109.580,140655.285,2,2,9151,13263,0,2,0,1100,5,4,1,1,45573,57344,69632,0,0,69632,7,54724,true,ok
original,full,1000,1,random_batch_updates,100,1012167,10121.670,98797.926,5,5,41461,41461,5,5,0,1000,5,4,1,1,41461,57344,106496,0,0,106496,10,82922,true,ok
original,full,1000,1,clustered_batch_updates,100,606333,6063.330,164925.874,3,2,21484,12523,1,3,0,1000,5,4,1,1,41461,57344,69632,0,0,69632,7,53984,true,ok
original,full,1000,1,random_batch_deletes,100,874625,8746.250,114334.715,5,5,41461,37361,3,5,0,900,5,4,1,1,37361,57344,106496,0,0,106496,10,78822,true,ok
original,full,1000,1,clustered_batch_deletes,100,499375,4993.750,200250.313,2,2,12523,8413,0,2,0,900,5,4,1,1,37351,57344,65536,0,0,65536,7,49874,true,ok
original,full,1000,1,identical_diff,1,4541,4541.000,220215.811,0,0,0,0,0,0,0,1000,5,4,1,1,41461,57344,57344,0,32768,90112,5,41461,true,ok
original,full,1000,1,append_sparse_diff,100,138417,1384.170,722454.612,4,0,22414,0,0,4,0,1100,5,4,1,1,45573,57344,69632,0,32768,102400,7,54724,true,ok
original,full,1000,1,random_sparse_diff,100,421042,4210.420,237505.997,10,0,82922,0,2,10,0,1000,5,4,1,1,41461,57344,106496,0,32768,139264,10,82922,true,ok
original,full,1000,1,clustered_sparse_diff,100,155416,1554.160,643434.395,4,0,25046,0,2,4,0,1000,5,4,1,1,41461,57344,69632,0,32768,102400,7,53984,true,ok
original,full,1000,1,random_delete_diff,100,521875,5218.750,191616.766,10,0,78822,0,2,10,0,900,5,4,1,1,37361,57344,106496,0,32768,139264,10,78822,true,ok
original,full,1000,1,clustered_delete_diff,100,131834,1318.340,758529.666,4,0,20936,0,2,4,0,900,5,4,1,1,37351,57344,65536,0,32768,98304,7,49874,true,ok
original,full,1000,1,append_disjoint_sparse_merge,100,609125,6091.250,164169.916,6,2,31567,13263,8,6,0,1100,5,4,1,1,45573,57344,102400,0,0,102400,11,77140,true,ok
original,full,1000,1,random_disjoint_sparse_merge,100,467208,4672.080,214037.431,6,2,37569,12523,0,6,0,1000,5,4,1,1,41461,57344,131072,0,0,131072,14,107968,true,ok
original,full,1000,1,clustered_disjoint_sparse_merge,100,460709,4607.090,217056.754,6,2,37569,12523,0,6,0,1000,5,4,1,1,41461,57344,102400,0,0,102400,11,79030,true,ok
original,full,1000,1,random_conflict_resolved_merge,50,750084,15001.680,66659.201,15,0,124383,0,0,15,0,1000,5,4,1,1,41461,57344,151552,0,0,151552,15,124383,true,ok
original,full,1000,1,clustered_conflict_resolved_merge,50,227459,4549.180,219819.836,6,0,37569,0,0,6,0,1000,5,4,1,1,41461,57344,90112,0,0,90112,9,66507,true,ok
current,full,1000,1,sorted_stream_build,1000,1136333,1136.333,880023.725,0,0,0,0,0,0,0,1000,8,7,1,1,42086,0,69632,0,0,69632,8,42086,true,ok
current,full,1000,1,shuffled_batch_build,1000,1282167,1282.167,779929.604,0,0,0,0,0,0,0,1000,8,7,1,1,42086,0,69632,0,0,69632,8,42086,true,ok
current,full,1000,1,random_reads_cold_manager,1000000,419593791,419.594,2383257.382,8,0,42086,0,1111977,8,0,1000,8,7,1,1,42086,69632,69632,0,32768,102400,8,42086,true,ok
current,full,1000,1,random_reads_warm_manager,1000000,414072083,414.072,2415038.446,0,0,0,0,1112000,0,0,1000,8,7,1,1,42086,69632,69632,0,32768,102400,8,42086,true,ok
current,full,1000,1,clustered_reads_cold_manager,1000000,409682708,409.683,2440913.371,8,0,42086,0,1111977,8,0,1000,8,7,1,1,42086,69632,69632,0,32768,102400,8,42086,true,ok
current,full,1000,1,clustered_reads_warm_manager,1000000,410183083,410.183,2437935.745,0,0,0,0,1112000,0,0,1000,8,7,1,1,42086,69632,69632,0,32768,102400,8,42086,true,ok
current,full,1000,1,right_edge_reads_cold_manager,1000000,415347458,415.347,2407622.776,8,0,42086,0,1111977,8,0,1000,8,7,1,1,42086,69632,69632,0,32768,102400,8,42086,true,ok
current,full,1000,1,right_edge_reads_warm_manager,1000000,405368791,405.369,2466889.465,0,0,0,0,1112000,0,0,1000,8,7,1,1,42086,69632,69632,0,32768,102400,8,42086,true,ok
current,full,1000,1,append_batch_upserts,100,765083,7650.830,130704.773,2,2,3573,7687,2,2,0,1100,8,7,1,1,46200,69632,86016,0,0,86016,10,49773,true,ok
current,full,1000,1,random_batch_updates,100,983083,9830.830,101720.811,8,8,42086,42086,4,8,0,1000,8,7,1,1,42086,69632,131072,0,0,131072,16,84172,true,ok
current,full,1000,1,clustered_batch_updates,100,586958,5869.580,170369.941,3,2,10814,7603,3,3,0,1000,8,7,1,1,42086,69632,86016,0,0,86016,10,49689,true,ok
current,full,1000,1,random_batch_deletes,100,1018041,10180.410,98227.871,8,8,42086,37986,2,8,0,900,8,7,1,1,37986,69632,118784,0,0,118784,16,80072,true,ok
current,full,1000,1,clustered_batch_deletes,100,740833,7408.330,134983.188,4,2,23773,3491,3,4,0,900,8,7,1,1,37974,69632,81920,0,0,81920,10,45577,true,ok
current,full,1000,1,identical_diff,1,12375,12375.000,80808.081,0,0,0,0,0,0,0,1000,8,7,1,1,42086,69632,69632,0,32768,102400,8,42086,true,ok
