profile,records,workload,runs,operations,original_total_ns,current_total_ns,latency_delta_pct,latency_class,original_min_ns,original_max_ns,current_min_ns,current_max_ns,original_ns_per_op,current_ns_per_op,original_ops_per_sec,current_ops_per_sec,original_peak_rss,current_peak_rss,rss_delta_pct,memory_regression,original_fixture_bytes,current_fixture_bytes,fixture_delta_pct,size_regression,original_nodes_read,current_nodes_read,original_nodes_written,current_nodes_written,original_bytes_read,current_bytes_read,original_bytes_written,current_bytes_written,io_regression,original_tree_bytes,current_tree_bytes,original_node_payload,current_node_payload,original_num_nodes,current_num_nodes,original_height,current_height,original_entries,current_entries
full,1000,append_batch_upserts,5,100,942041,855333,-9.204,noise-sensitive,671917,1244417,765083,957667,9420.410,8553.330,106152.492,116913.530,4521984,4407296,-2.536,false,69632,86016,23.529,false,2,2,2,2,9151,3573,13263,7687,false,45573,46200,54724,49773,5,8,1,1,1100,1100
full,1000,append_disjoint_sparse_merge,5,100,651917,386625,-40.694,noise-sensitive,609125,770584,343542,464167,6519.170,3866.250,153393.760,258648.561,4980736,4636672,-6.908,false,102400,102400,0.000,false,6,6,2,2,31567,14833,13263,7687,false,45573,46200,77140,61033,5,8,1,1,1100,1100
full,1000,append_sparse_diff,5,100,138417,69041,-50.121,noise-sensitive,128417,175917,65042,71667,1384.170,690.410,722454.612,1448414.710,4603904,4456448,-3.203,false,102400,118784,16.000,false,4,4,0,0,22414,11260,0,0,false,45573,46200,54724,49773,5,8,1,1,1100,1100
full,1000,clustered_batch_deletes,5,100,499375,605750,21.302,noise-sensitive,454125,817292,548333,764167,4993.750,6057.500,200250.313,165084.606,4374528,4407296,0.749,false,65536,81920,25.000,false,2,4,2,2,12523,23773,8413,3491,true,37351,37974,49874,45577,5,8,1,1,900,900
full,1000,clustered_batch_updates,5,100,671833,586958,-12.633,noise-sensitive,590583,1425458,419000,814542,6718.330,5869.580,148846.514,170369.941,4423680,4325376,-2.222,false,69632,86016,23.529,false,3,3,2,2,21484,10814,12523,7603,false,41461,42086,53984,49689,5,8,1,1,1000,1000
full,1000,clustered_conflict_resolved_merge,5,50,241167,118750,-50.760,noise-sensitive,226542,287709,107459,125791,4823.340,2375.000,207325.214,421052.632,4603904,4554752,-1.068,false,90112,94208,4.545,false,6,6,0,0,37569,22809,0,0,false,41461,42086,66507,57292,5,8,1,1,1000,1000
full,1000,clustered_delete_diff,5,100,147625,69459,-52.949,noise-sensitive,131834,154875,64417,88583,1476.250,694.590,677392.041,1439698.239,4423680,4489216,1.481,false,98304,114688,16.667,false,4,4,0,0,20936,11094,0,0,false,37351,37974,49874,45577,5,8,1,1,900,900
full,1000,clustered_disjoint_sparse_merge,5,100,526542,351083,-33.323,noise-sensitive,460709,636958,342542,423084,5265.420,3510.830,189918.373,284832.931,4653056,4521984,-2.817,false,102400,102400,0.000,false,6,6,2,2,37569,22809,12523,7603,false,41461,42086,79030,64895,5,8,1,1,1000,1000
full,1000,clustered_reads_cold_manager,5,1000000,624821000,414735416,-33.623,material gain,548680458,749283292,409682708,475299584,624.821,414.735,1600458.371,2411175.804,3981312,3997696,0.412,false,90112,102400,13.636,false,5,8,0,0,41461,42086,0,0,true,41461,42086,41461,42086,5,8,1,1,1000,1000
full,1000,clustered_reads_warm_manager,5,1000000,642853834,425829541,-33.760,material gain,545890916,730173208,408788791,484399541,642.854,425.830,1555563.562,2348357.509,3997696,3997696,0.000,false,90112,102400,13.636,false,0,0,0,0,0,0,0,0,false,41461,42086,41461,42086,5,8,1,1,1000,1000
full,1000,clustered_sparse_diff,5,100,168917,77167,-54.317,noise-sensitive,155416,271083,73792,90083,1689.170,771.670,592006.725,1295890.730,4538368,4407296,-2.888,false,102400,118784,16.000,false,4,4,0,0,25046,15206,0,0,false,41461,42086,53984,49689,5,8,1,1,1000,1000
full,1000,identical_diff,5,1,1542,12375,702.529,noise-sensitive,1375,4541,1459,14584,1542.000,12375.000,648508.431,80808.081,4014080,4030464,0.408,false,90112,102400,13.636,false,0,0,0,0,0,0,0,0,false,41461,42086,41461,42086,5,8,1,1,1000,1000
full,1000,random_batch_deletes,5,100,953834,906125,-5.002,noise-sensitive,874625,1236625,854791,1190625,9538.340,9061.250,104840.046,110360.050,4849664,4915200,1.351,false,106496,118784,11.538,false,5,8,5,8,41461,42086,37361,37986,true,37361,37986,78822,80072,5,8,1,1,900,900
full,1000,random_batch_updates,5,100,1333000,983083,-26.250,noise-sensitive,1012167,1784083,818792,1215708,13330.000,9830.830,75018.755,101720.811,4800512,4669440,-2.730,false,106496,131072,23.077,false,5,8,5,8,41461,42086,41461,42086,true,41461,42086,82922,84172,5,8,1,1,1000,1000
full,1000,random_conflict_resolved_merge,5,50,750084,456875,-39.090,noise-sensitive,706667,1961916,419583,513375,15001.680,9137.500,66659.201,109439.124,5193728,5373952,3.470,false,151552,188416,24.324,false,15,24,0,0,124383,126258,0,0,true,41461,42086,124383,126258,5,8,1,1,1000,1000
