schema,revision,dirty,records,repetition,operation,pattern,cache_state,sample_count,logical_operations,observed_items,total_ns,ns_per_operation,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,nodes_read,nodes_written,bytes_read,bytes_written,cache_hits,cache_misses,cache_evictions,result_entries,num_nodes,num_leaves,num_internal,height,tree_bytes,db_bytes,wal_bytes,shm_bytes,total_database_bytes,expected_entries,observed_entries,error,validated
sqlite-scale-v2,aca96b17fd44f9557181e571c64a854c7f495c07,true,1000000,1,put,append,not-applicable,1,1,1,19920042,19920042.0,50.20069736800756,19920042,19920042,19920042,19920042,4,4,17218,17328,2,4,0,1000001,7719,7644,75,3,104662939,118599680,49472,32768,118681920,1000001,1000001,,true
sqlite-scale-v2,aca96b17fd44f9557181e571c64a854c7f495c07,true,1000000,1,put,random,not-applicable,1,1,1,19644291,19644291.0,50.90537500182623,19644291,19644291,19644291,19644291,6,4,50489,35438,4,6,0,1000000,7719,7644,75,3,104662829,118599680,94792,32768,118727240,1000000,1000000,,true
sqlite-scale-v2,aca96b17fd44f9557181e571c64a854c7f495c07,true,1000000,1,put,clustered,not-applicable,1,1,1,25918125,25918125.0,38.583037931949164,25918125,25918125,25918125,25918125,6,4,71741,56690,4,6,0,1000000,7719,7644,75,3,104662829,118599680,144232,32768,118776680,1000000,1000000,,true
sqlite-scale-v2,aca96b17fd44f9557181e571c64a854c7f495c07,true,1000000,1,batch,append,not-applicable,1,300000,300000,1371118500,4570.395,218799.46919248774,,,,,4,2295,17218,31414285,2,4,0,1300000,10010,9918,92,3,136059896,154116096,40796272,98304,195010672,1300000,1300000,,true
sqlite-scale-v2,aca96b17fd44f9557181e571c64a854c7f495c07,true,1000000,1,batch,random,not-applicable,1,300000,300000,2852291291,9507.637636666666,105178.59832430418,,,,,7659,7659,104625199,104625199,6,7659,0,1000000,7719,7644,75,3,104662829,237101056,124452872,262144,361816072,1000000,1000000,,true
sqlite-scale-v2,aca96b17fd44f9557181e571c64a854c7f495c07,true,1000000,1,batch,clustered,not-applicable,1,300000,300000,2874855250,9582.850833333334,104353.0800376819,,,,,2213,2211,31434413,31419362,4,2213,0,1000000,7719,7644,75,3,104662829,154009600,40713872,98304,194821776,1000000,1000000,,true
sqlite-scale-v2,aca96b17fd44f9557181e571c64a854c7f495c07,true,1000000,1,get_cold,append,cold-manager,10000,10000,10000,2052459917,205245.9917,4872.202334950641,164250,291375,844250,27155875,40000,0,389141761,0,0,40000,39996,1000000,7719,7644,75,3,104662829,118599680,0,32768,118632448,1000000,1000000,,true
sqlite-scale-v2,aca96b17fd44f9557181e571c64a854c7f495c07,true,1000000,1,get_cold,random,cold-manager,10000,10000,10000,2511929792,251192.9792,3981.002984975147,162750,708042,1579000,10616542,40000,0,363444636,0,0,40000,39996,1000000,7719,7644,75,3,104662829,118599680,0,32768,118632448,1000000,1000000,,true
sqlite-scale-v2,aca96b17fd44f9557181e571c64a854c7f495c07,true,1000000,1,get_cold,clustered,cold-manager,10000,10000,10000,1813737208,181373.7208,5513.477892989225,159958,215750,578042,7538875,40000,0,418095387,0,0,40000,39996,1000000,7719,7644,75,3,104662829,118599680,0,32768,118632448,1000000,1000000,,true
sqlite-scale-v2,aca96b17fd44f9557181e571c64a854c7f495c07,true,1000000,1,get_warm,append,warm-manager,10000,10000,10000,2485458,248.5458,4023403.3325045123,208,250,459,2875,0,0,0,0,10249,0,0,1000000,7719,7644,75,3,104662829,118599680,0,32768,118632448,1000000,1000000,,true
sqlite-scale-v2,aca96b17fd44f9557181e571c64a854c7f495c07,true,1000000,1,get_warm,random,warm-manager,10000,10000,10000,7267791,726.7791,1375933.897934049,625,1083,1333,121666,0,0,0,0,23269,0,0,1000000,7719,7644,75,3,104662829,118599680,0,32768,118632448,1000000,1000000,,true
sqlite-scale-v2,aca96b17fd44f9557181e571c64a854c7f495c07,true,1000000,1,get_warm,clustered,warm-manager,10000,10000,10000,2518875,251.8875,3970026.301424247,208,250,584,10500,0,0,0,0,10210,0,0,1000000,7719,7644,75,3,104662829,118599680,0,32768,118632448,1000000,1000000,,true
sqlite-scale-v2,aca96b17fd44f9557181e571c64a854c7f495c07,true,1000000,1,query,append,not-applicable,1,10000,10000,123919709,12391.9709,80697.41351636001,,,,,86,0,1059405,0,0,86,0,1000000,7719,7644,75,3,104662829,118599680,0,32768,118632448,1000000,1000000,,true
