records,operation,pattern,cache_state,repetitions,median_total_ns,min_total_ns,max_total_ns,median_ns_per_operation,median_operations_per_sec,min_operations_per_sec,max_operations_per_sec
1000000,put,append,not-applicable,3,19920042,18770375,21867542,19920042.0,50.20069736800756,45.7298767278005,53.275440687785945
1000000,put,random,not-applicable,3,27686500,19644291,76880333,27686500.0,36.11868600220324,13.007227739245096,50.90537500182623
1000000,put,clustered,not-applicable,3,25918125,24572584,28141625,25918125.0,38.583037931949164,35.534550687815646,40.69576077143535
1000000,batch,append,not-applicable,3,1175611834,1084419750,1371118500,3918.706113333333,255186.2709473202,218799.46919248774,276645.6439031104
1000000,batch,random,not-applicable,3,2418001750,2318863791,2852291291,8060.005833333334,124069.38911437926,105178.59832430418,129373.70498619338
1000000,batch,clustered,not-applicable,3,1426392167,1337296958,2874855250,4754.640556666666,210320.84088835298,104353.0800376819,224333.12078168953
1000000,get_cold,append,cold-manager,3,1732443083,1699423000,2052459917,173244.3083,5772.195403201018,4872.202334950641,5884.350158848033
1000000,get_cold,random,cold-manager,3,2486500792,2353241209,2511929792,248650.0792,4021.715992278678,3981.002984975147,4249.458135338985
1000000,get_cold,clustered,cold-manager,3,1794630291,1745926083,1813737208,179463.0291,5572.1783200415175,5513.477892989225,5727.619340457496
1000000,get_warm,append,warm-manager,3,2485458,2427292,2621916,248.5458,4023403.3325045123,3814004.7202122416,4119817.4756065602
1000000,get_warm,random,warm-manager,3,7267750,7032292,7267791,726.775,1375941.6600736128,1375933.897934049,1422011.486439983
1000000,get_warm,clustered,warm-manager,3,2608333,2518875,2655333,260.8333,3833866.3046474513,3766005.996234747,3970026.301424247
1000000,query,append,not-applicable,3,123919709,121888917,137483209,12391.9709,80697.41351636001,72736.15500202647,82041.91362205638
1000000,query,random,not-applicable,3,1262054834,999974208,1638070584,126205.4834,7923.585988974549,6104.743042012895,10000.257926652444
1000000,query,clustered,not-applicable,3,120016208,102125792,172098750,12001.6208,83322.07929782284,58106.17450736859,97918.45726885524
1000000,scan,append,not-applicable,3,161409458,129408292,166004417,16140.9458,61954.2381463173,60239.36098037681,77274.80090688469
1000000,scan,random,not-applicable,3,131139291,129625917,157034000,13113.9291,76254.79689378526,63680.47683941057,77145.066599606
1000000,scan,clustered,not-applicable,3,113522209,112981333,134187791,11352.2209,88088.49024423053,74522.42805010479,88510.19663575751
1000000,full_scan,append,not-applicable,3,1659322416,1622996042,2546874208,1659.322416,602655.6324180942,392638.1589082392,616144.4477509083
1000000,diff,append,not-applicable,3,168634500,168580500,201114875,562.115,1778995.4012968878,1491684.7896009681,1779565.2522088855
1000000,diff,random,not-applicable,3,921115625,914445250,1068580542,3070.3854166666665,325692.01070712483,280746.26872627443,328067.75473982724
1000000,diff,clustered,not-applicable,3,301196833,289081667,345785167,1003.9894433333334,996026.4090824621,867590.7142078191,1037769.0260102174
1000000,merge,append,not-applicable,3,257395417,236582542,301597458,857.9847233333334,1165521.9175872116,994703.3439519242,1268056.372477391
1000000,merge,random,not-applicable,3,35785900042,31513987667,45395256333,119286.33347333333,8383.19001751824,6608.620024068804,9519.582325474672
1000000,merge,clustered,not-applicable,3,2412792,2286584,7688000,8.04264,124337282.28541872,39021852.23725286,131200078.37018014
