implementation,revision,records,phase,workload,operation,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_count,validated,run
rust,b087770d79b5+src.b85a0408b624,10000,fresh,append,write,10000,3018708,301.871,3312675.489,51f55fcd59187cbf,10000,true,1
rust,b087770d79b5+src.b85a0408b624,10000,fresh,append,point_read,10000,1653208,165.321,6048845.638,51f55fcd59187cbf,10000,true,1
rust,b087770d79b5+src.b85a0408b624,10000,fresh,append,range_scan,10000,51333,5.133,194806459.782,51f55fcd59187cbf,10000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,append,write,10000,7475291,747.529,1337740.564,51f55fcd59187cbf,10000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,append,point_read,10000,6669459,666.946,1499371.988,51f55fcd59187cbf,10000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,append,range_scan,10000,1024084,102.408,9764823.979,51f55fcd59187cbf,10000,true,1
rust,b087770d79b5+src.b85a0408b624,10000,fresh,random,write,10000,13701375,1370.138,729853.756,004197dd790a1245,10000,true,1
rust,b087770d79b5+src.b85a0408b624,10000,fresh,random,point_read,10000,1628209,162.821,6141717.679,004197dd790a1245,10000,true,1
rust,b087770d79b5+src.b85a0408b624,10000,fresh,random,range_scan,10000,64000,6.400,156250000.000,004197dd790a1245,10000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,random,write,10000,12040917,1204.092,830501.531,004197dd790a1245,10000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,random,point_read,10000,9384875,938.487,1065544.293,004197dd790a1245,10000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,random,range_scan,10000,218291,21.829,45810409.041,004197dd790a1245,10000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,clustered,write,10000,7643125,764.312,1308365.361,86e38047f6ae04b3,10000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,clustered,point_read,10000,6512333,651.233,1535548.013,86e38047f6ae04b3,10000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,10000,fresh,clustered,range_scan,10000,210667,21.067,47468279.322,86e38047f6ae04b3,10000,true,1
rust,b087770d79b5+src.b85a0408b624,10000,fresh,clustered,write,10000,3470667,347.067,2881290.542,86e38047f6ae04b3,10000,true,1
rust,b087770d79b5+src.b85a0408b624,10000,fresh,clustered,point_read,10000,1935208,193.521,5167403.194,86e38047f6ae04b3,10000,true,1
rust,b087770d79b5+src.b85a0408b624,10000,fresh,clustered,range_scan,10000,52167,5.217,191692065.865,86e38047f6ae04b3,10000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,append,write,3000,3505583,1168.528,855777.769,2ef1df79e1226620,13000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,append,point_read,13000,6178250,475.250,2104155.708,2ef1df79e1226620,13000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,append,range_scan,13000,269542,20.734,48229960.451,2ef1df79e1226620,13000,true,1
rust,b087770d79b5+src.b85a0408b624,10000,mutation,append,write,3000,990208,330.069,3029666.494,2ef1df79e1226620,13000,true,1
rust,b087770d79b5+src.b85a0408b624,10000,mutation,append,point_read,13000,1543708,118.747,8421281.745,2ef1df79e1226620,13000,true,1
rust,b087770d79b5+src.b85a0408b624,10000,mutation,append,range_scan,13000,78708,6.054,165167454.388,2ef1df79e1226620,13000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,random,write,3000,5315791,1771.930,564356.274,3bc7e45ef276a1c5,11500,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,random,point_read,13000,6906959,531.305,1882159.717,3bc7e45ef276a1c5,11500,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,random,range_scan,11500,244583,21.268,47018803.433,3bc7e45ef276a1c5,11500,true,1
rust,b087770d79b5+src.b85a0408b624,10000,mutation,random,write,3000,5976333,1992.111,501980.060,3bc7e45ef276a1c5,11500,true,1
rust,b087770d79b5+src.b85a0408b624,10000,mutation,random,point_read,13000,2035459,156.574,6386765.835,3bc7e45ef276a1c5,11500,true,1
rust,b087770d79b5+src.b85a0408b624,10000,mutation,random,range_scan,11500,70458,6.127,163217803.514,3bc7e45ef276a1c5,11500,true,1
rust,b087770d79b5+src.b85a0408b624,10000,mutation,clustered,write,3000,1806958,602.319,1660248.882,5caed8dbd3056277,11500,true,1
rust,b087770d79b5+src.b85a0408b624,10000,mutation,clustered,point_read,13000,1285625,98.894,10111813.320,5caed8dbd3056277,11500,true,1
rust,b087770d79b5+src.b85a0408b624,10000,mutation,clustered,range_scan,11500,70292,6.112,163603254.993,5caed8dbd3056277,11500,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,10000,mutation,clustered,write,3000,2665500,888.500,1125492.403,5caed8dbd3056277,11500,true,1
