records,phase,workload,operation,runs,rust_median_ns_per_op,dolt_go_median_ns_per_op,winner,winner_speedup
10000,fresh,append,point_read,3,152.442,666.946,rust,4.375
10000,fresh,append,range_scan,3,5.158,21.792,rust,4.225
10000,fresh,append,write,3,298.429,755.737,rust,2.532
10000,fresh,clustered,point_read,3,169.629,651.233,rust,3.839
10000,fresh,clustered,range_scan,3,5.217,21.067,rust,4.038
10000,fresh,clustered,write,3,347.067,764.312,rust,2.202
10000,fresh,random,point_read,3,153.738,567.358,rust,3.690
10000,fresh,random,range_scan,3,6.396,21.829,rust,3.413
10000,fresh,random,write,3,507.850,1094.412,rust,2.155
10000,mutation,append,point_read,3,110.853,475.250,rust,4.287
10000,mutation,append,range_scan,3,5.904,20.734,rust,3.512
10000,mutation,append,write,3,328.431,1168.528,rust,3.558
10000,mutation,clustered,point_read,3,104.849,447.003,rust,4.263
10000,mutation,clustered,range_scan,3,6.112,21.957,rust,3.592
10000,mutation,clustered,write,3,611.236,859.514,rust,1.406
10000,mutation,random,point_read,3,156.763,522.237,rust,3.331
10000,mutation,random,range_scan,3,6.127,22.583,rust,3.686
10000,mutation,random,write,3,1996.931,1653.917,dolt-go,1.207
50000,fresh,append,point_read,3,190.202,616.144,rust,3.239
50000,fresh,append,range_scan,3,4.979,21.508,rust,4.320
50000,fresh,append,write,3,293.864,891.430,rust,3.033
50000,fresh,clustered,point_read,3,181.040,592.475,rust,3.273
50000,fresh,clustered,range_scan,3,4.829,21.390,rust,4.429
50000,fresh,clustered,write,3,342.336,956.831,rust,2.795
50000,fresh,random,point_read,3,185.890,774.005,rust,4.164
50000,fresh,random,range_scan,3,4.814,21.839,rust,4.537
50000,fresh,random,write,3,466.685,1484.283,rust,3.180
50000,mutation,append,point_read,3,112.929,493.636,rust,4.371
50000,mutation,append,range_scan,3,5.201,22.124,rust,4.254
50000,mutation,append,write,3,309.333,1146.578,rust,3.707
50000,mutation,clustered,point_read,3,102.683,485.256,rust,4.726
50000,mutation,clustered,range_scan,3,5.328,22.319,rust,4.189
50000,mutation,clustered,write,3,525.500,942.936,rust,1.794
50000,mutation,random,point_read,3,253.681,719.699,rust,2.837
50000,mutation,random,range_scan,3,4.798,24.304,rust,5.065
50000,mutation,random,write,3,2488.678,2258.117,dolt-go,1.102
1000000,fresh,append,point_read,3,553.858,1442.312,rust,2.604
1000000,fresh,append,range_scan,3,5.388,26.834,rust,4.980
1000000,fresh,append,write,3,295.348,2038.737,rust,6.903
1000000,fresh,clustered,point_read,3,573.658,1413.245,rust,2.464
1000000,fresh,clustered,range_scan,3,7.488,26.408,rust,3.527
1000000,fresh,clustered,write,3,393.945,1641.334,rust,4.166
1000000,fresh,random,point_read,3,705.577,1408.530,rust,1.996
1000000,fresh,random,range_scan,3,5.481,26.068,rust,4.756
1000000,fresh,random,write,3,600.292,2439.362,rust,4.064
1000000,mutation,append,point_read,3,179.150,647.179,rust,3.612
1000000,mutation,append,range_scan,3,6.998,27.118,rust,3.875
1000000,mutation,append,write,3,305.158,1629.346,rust,5.339
1000000,mutation,clustered,point_read,3,134.063,636.276,rust,4.746
1000000,mutation,clustered,range_scan,3,6.946,27.297,rust,3.930
1000000,mutation,clustered,write,3,538.758,1275.306,rust,2.367
1000000,mutation,random,point_read,3,507.811,1436.691,rust,2.829
1000000,mutation,random,range_scan,3,5.441,27.074,rust,4.976
1000000,mutation,random,write,3,2497.136,2550.108,rust,1.021
5000000,fresh,append,point_read,3,890.115,1714.727,rust,1.926
5000000,fresh,append,range_scan,3,5.883,38.383,rust,6.524
5000000,fresh,append,write,3,285.652,7048.004,rust,24.673
5000000,fresh,clustered,point_read,3,884.480,1723.268,rust,1.948
5000000,fresh,clustered,range_scan,3,5.902,39.148,rust,6.633
5000000,fresh,clustered,write,3,403.381,4034.709,rust,10.002
5000000,fresh,random,point_read,3,894.013,1527.933,rust,1.709
5000000,fresh,random,range_scan,3,5.836,38.514,rust,6.599
5000000,fresh,random,write,3,778.487,5460.146,rust,7.014
5000000,mutation,append,point_read,3,135.152,672.121,rust,4.973
5000000,mutation,append,range_scan,3,6.500,40.843,rust,6.284
5000000,mutation,append,write,3,301.225,2797.280,rust,9.286
5000000,mutation,clustered,point_read,3,123.442,666.179,rust,5.397
5000000,mutation,clustered,range_scan,3,7.051,40.067,rust,5.682
5000000,mutation,clustered,write,3,532.538,2679.520,rust,5.032
5000000,mutation,random,point_read,3,931.169,2133.781,rust,2.292
5000000,mutation,random,range_scan,3,6.059,40.755,rust,6.726
5000000,mutation,random,write,3,2388.901,4221.660,rust,1.767
10000000,fresh,append,point_read,3,972.252,1793.696,rust,1.845
10000000,fresh,append,range_scan,3,5.959,40.194,rust,6.745
10000000,fresh,append,write,3,284.277,14822.574,rust,52.141
10000000,fresh,clustered,point_read,3,968.567,1809.360,rust,1.868
10000000,fresh,clustered,range_scan,3,6.024,40.795,rust,6.772
10000000,fresh,clustered,write,3,399.600,7943.789,rust,19.879
10000000,fresh,random,point_read,3,967.769,1626.378,rust,1.681
10000000,fresh,random,range_scan,3,6.025,40.209,rust,6.674
10000000,fresh,random,write,3,784.060,9576.091,rust,12.213
10000000,mutation,append,point_read,3,135.349,704.872,rust,5.208
10000000,mutation,append,range_scan,3,6.142,40.616,rust,6.613
10000000,mutation,append,write,3,299.082,5199.177,rust,17.384
10000000,mutation,clustered,point_read,3,119.650,687.554,rust,5.746
10000000,mutation,clustered,range_scan,3,6.275,41.525,rust,6.618
10000000,mutation,clustered,write,3,513.256,5151.062,rust,10.036
10000000,mutation,random,point_read,3,1112.188,2533.120,rust,2.278
10000000,mutation,random,range_scan,3,6.115,41.270,rust,6.749
10000000,mutation,random,write,3,3096.957,6150.546,rust,1.986
